"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.633242777710281e-05	-1.709446407317240e-01	1.035337329641055e-01	-1.189482387428014e-01	-1.489265202855414e-02	-5.379035916583090e+02	0.000000000000000e+00	
1	9.990000128750000e-01	-1.454723256036108e-04	-2.155570929017536e-01	2.226025754392848e-01	-9.737805901062606e-02	-4.773870446028373e-02	1.184321658720695e+02	0.000000000000000e+00	
2	9.977599978450000e-01	-3.275073505708669e-04	-2.125687013916066e-01	2.417150057593359e-01	-9.776189314029261e-02	-4.962303447938318e-02	5.572455092388288e+00	0.000000000000000e+00	
3	9.960200190539999e-01	-5.899270161195648e-04	-2.103629520750205e-01	2.503717472665747e-01	-9.821351559843107e-02	-5.016813031941778e-02	3.790108383111785e+00	0.000000000000000e+00	
4	9.937800168990000e-01	-9.470943436684703e-04	-2.104203386408608e-01	2.584155924502287e-01	-1.043519586977204e-01	-5.111297363573963e-02	3.108295148542442e+00	0.000000000000000e+00	
5	9.910500049590000e-01	-1.422095104221529e-03	-2.078120476017063e-01	2.608335641681349e-01	-1.161432707653451e-01	-5.096841171144251e-02	1.760841838834932e+00	0.000000000000000e+00	
6	9.878399968150000e-01	-2.045514889604854e-03	-2.010094814963600e-01	2.566173193307892e-01	-1.329124776926608e-01	-4.959778306556768e-02	1.305055640102549e+00	0.000000000000000e+00	
7	9.841300249100000e-01	-2.853670314045764e-03	-1.877222840740849e-01	2.428780999418389e-01	-1.531171636727643e-01	-4.649640386930055e-02	1.001227617650050e+00	0.000000000000000e+00	
8	9.799500107769999e-01	-3.858877038333141e-03	-1.662530018057967e-01	2.175138389841504e-01	-1.741553195605408e-01	-4.126545360927232e-02	7.143921637487112e-01	0.000000000000000e+00	
9	9.752799868580000e-01	-5.058294125358276e-03	-1.361086188857308e-01	1.799847683705888e-01	-1.925211544236604e-01	-3.378131944939866e-02	4.435153554299092e-01	0.000000000000000e+00	
10	9.701499938960000e-01	-6.405105129571203e-03	-9.887274355870310e-02	1.326677533293866e-01	-2.044462763937678e-01	-2.443142032431958e-02	2.546532754576780e-01	0.000000000000000e+00	
11	9.645400047300000e-01	-7.840836407765126e-03	-5.842636753352345e-02	8.085153948600683e-02	-2.069039873958131e-01	-1.419905697036063e-02	2.299782679691347e-02	0.000000000000000e+00	
12	9.584699869160000e-01	-9.290150787560000e-03	-2.097666038979854e-02	3.249792590777932e-02	-1.990038267453335e-01	-4.648682275297635e-03	-2.860669112331063e-01	0.000000000000000e+00	
13	9.519400000570000e-01	-1.069769264834164e-02	6.945994071749947e-03	-4.238131123487471e-03	-1.831310582188242e-01	2.494156910638075e-03	-3.794928904251038e-01	0.000000000000000e+00	
14	9.449599981310000e-01	-1.203551338714500e-02	2.166262481906511e-02	-2.470092196687875e-02	-1.642102929128263e-01	6.232284258024101e-03	-1.442217383039273e-01	0.000000000000000e+00	
15	9.375399947170000e-01	-1.330801048659875e-02	2.465809801556799e-02	-3.038638180790678e-02	-1.472948163619285e-01	6.923374986846255e-03	1.758024269407173e-01	0.000000000000000e+00	
16	9.296900033950000e-01	-1.454249381798704e-02	2.139885859822315e-02	-2.765825794299442e-02	-1.353533189794715e-01	5.970881980051837e-03	3.173558673478388e-01	0.000000000000000e+00	
17	9.214000105860000e-01	-1.577724410522906e-02	1.743897014638315e-02	-2.330622702084650e-02	-1.286282069986333e-01	4.860287513270852e-03	2.854756138268352e-01	0.000000000000000e+00	
18	9.126999974250000e-01	-1.703951248946798e-02	1.624312634493597e-02	-2.172669092166053e-02	-1.258739333042810e-01	4.467610195628859e-03	1.956240845307427e-01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.835033169762810e-02	1.873004009198962e-02	-2.429087518784035e-02	-1.253326337860136e-01	5.051852728337176e-03	1.194207721030411e-01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.971334774596781e-02	2.455541508305398e-02	-3.075122322066569e-02	-1.255624812484644e-01	6.498871221880651e-03	6.316249006750548e-02	0.000000000000000e+00	
21	8.841500282290000e-01	-2.112394985935329e-02	3.274512845009317e-02	-4.002428822038373e-02	-1.256353176764518e-01	8.557566557406155e-03	2.879871243785402e-02	0.000000000000000e+00	
22	8.738499879840000e-01	-2.257393232219767e-02	4.220060763555685e-02	-5.084118513591585e-02	-1.250809950518536e-01	1.095102447746418e-02	1.570305145449676e-02	0.000000000000000e+00	
23	8.631799817090000e-01	-2.405119416089751e-02	5.214594817096694e-02	-6.225634440055213e-02	-1.238736880162810e-01	1.345645348563893e-02	1.199731415279103e-02	0.000000000000000e+00	
24	8.521599769590000e-01	-2.554507766624925e-02	6.199111452303539e-02	-7.357288056149257e-02	-1.221007880222526e-01	1.594333950184637e-02	1.757527813752153e-02	0.000000000000000e+00	
25	8.407700061800000e-01	-2.705242510854759e-02	7.155390069727235e-02	-8.454377392907456e-02	-1.199798681253760e-01	1.834733451267900e-02	2.487695329518913e-02	0.000000000000000e+00	
26	8.290500044819999e-01	-2.856399184761455e-02	8.078031506101514e-02	-9.510108782724697e-02	-1.176481370865869e-01	2.067316645408001e-02	3.191075197819457e-02	0.000000000000000e+00	
27	8.170099854470000e-01	-3.007593426397723e-02	8.975731762254531e-02	-1.053380281002689e-01	-1.151910070273812e-01	2.294173849568310e-02	3.573569326285390e-02	0.000000000000000e+00	
28	8.046399950980000e-01	-3.158742973221720e-02	9.868043063319408e-02	-1.154616661229014e-01	-1.126782665864459e-01	2.518606538508405e-02	2.950829254803517e-02	0.000000000000000e+00	
29	7.919700145720000e-01	-3.309282450802956e-02	1.076121608574685e-01	-1.255573289957246e-01	-1.100811769639873e-01	2.744441923201471e-02	1.882171712512983e-02	0.000000000000000e+00	
30	7.790099978450000e-01	-3.458885678702846e-02	1.166758691300716e-01	-1.357486166374531e-01	-1.074126115584866e-01	2.972204470394702e-02	8.381874440640695e-03	0.000000000000000e+00	
31	7.657799720760000e-01	-3.607090983896472e-02	1.258633812590475e-01	-1.460349167709072e-01	-1.046375874559583e-01	3.203450497108443e-02	8.115221366569428e-03	0.000000000000000e+00	
32	7.522799968720000e-01	-3.753642613303891e-02	1.351369070196145e-01	-1.563752790298250e-01	-1.017312296618197e-01	3.437160967764298e-02	1.730390035375002e-02	0.000000000000000e+00	
33	7.385200262070000e-01	-3.898155857693567e-02	1.444281925398003e-01	-1.666995110870947e-01	-9.866902240080606e-02	3.672079779574230e-02	2.676312140619248e-02	0.000000000000000e+00	
34	7.245299816130000e-01	-4.040043576663187e-02	1.536742488812679e-01	-1.769338825456508e-01	-9.543934834947254e-02	3.906003676299691e-02	3.124287176376884e-02	0.000000000000000e+00	
35	7.103199958800001e-01	-4.178942971250176e-02	1.628311319179266e-01	-1.870313201415895e-01	-9.203931163406157e-02	4.137538177481308e-02	2.992773880980367e-02	0.000000000000000e+00	
36	6.958900094030001e-01	-4.314597840715501e-02	1.719219240691652e-01	-1.970153279752174e-01	-8.848419274912055e-02	4.367415986411537e-02	2.119382544755067e-02	0.000000000000000e+00	
37	6.812700033190000e-01	-4.446488560874996e-02	1.809862568060498e-01	-2.069282394950666e-01	-8.478011579337841e-02	4.596198704422445e-02	9.789369408636124e-03	0.000000000000000e+00	
38	6.664699912070000e-01	-4.574315078971048e-02	1.899775714768170e-01	-2.167219796779101e-01	-8.093647928202385e-02	4.823362725158262e-02	3.358760129512342e-03	0.000000000000000e+00	
39	6.514999866490000e-01	-4.697799809577159e-02	1.988264915966595e-01	-2.263211262281294e-01	-7.696314968933085e-02	5.046611075374112e-02	1.915498510448846e-03	0.000000000000000e+00	
40	6.363800168040000e-01	-4.816611699265409e-02	2.074586905842066e-01	-2.356516331035231e-01	-7.286761003959721e-02	5.264722883404965e-02	5.805140843215535e-03	0.000000000000000e+00	
41	6.211299896240000e-01	-4.930459557662961e-02	2.158456084430597e-01	-2.446824018592604e-01	-6.866379924175305e-02	5.476380397957612e-02	1.221241574407053e-02	0.000000000000000e+00	
42	6.057599782940000e-01	-5.039157962171821e-02	2.239607214746508e-01	-2.533897004877705e-01	-6.436188141757192e-02	5.681502443061111e-02	2.020482404914215e-02	0.000000000000000e+00	
43	5.902799963950000e-01	-5.142543126643928e-02	2.318152115576498e-01	-2.617846419403171e-01	-5.997487311336095e-02	5.879763655759458e-02	2.209998820225577e-02	0.000000000000000e+00	
