VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.0435711      , 0.001           
          1               , -0.0212813      , 0.001           
          2               , -0.0083208      , 0.001           
          3               , -0.000985686    , 0.001           
          4               , 0.00267723      , 0.001           
          5               , 0.0037174       , 0.001           
          6               , 0.00280601      , 0.001           
          7               , 0.000571282     , 0.001           
          8               , -0.00223451     , 0.001           
          9               , -0.00476803     , 0.001           
          10              , -0.00632992     , 0.001           
          11              , -0.00669086     , 0.001           
          12              , -0.00625537     , 0.001           
          13              , -0.00580707     , 0.001           
          14              , -0.00591028     , 0.001           
          15              , -0.00655995     , 0.001           
          16              , -0.00757461     , 0.001           
          17              , -0.00862863     , 0.001           
          18              , -0.00569894     , 0.001           
          19              , -0.0587964      , 0.001           
          20              , -0.022956       , 0.001           
          21              , -0.00531333     , 0.001           
          22              , 0.0045696       , 0.001           
          23              , 0.0104471       , 0.001           
          24              , 0.0136903       , 0.001           
          25              , 0.0147795       , 0.001           
          26              , 0.0139895       , 0.001           
          27              , 0.0117352       , 0.001           
          28              , 0.00870421      , 0.001           
          29              , 0.00579775      , 0.001           
          30              , 0.00388524      , 0.001           
          31              , 0.00344129      , 0.001           
          32              , 0.00427016      , 0.001           
          33              , 0.00562959      , 0.001           
          34              , 0.00686987      , 0.001           
          35              , 0.00802081      , 0.001           
          36              , 0.00915814      , 0.001           
          37              , 0.00762546      , 0.001           
