"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.279250957653441e+00, 6.233280304764318e-01, 4.553726764453074e-01
0, 9.997500181200000e-01, -3.633242222350164e-05, 1.290541346649509e+00, 6.485297916283694e-01, 4.935458404193562e-01
1, 9.990000128750000e-01, -1.454719744487348e-04, 1.264182824768104e+00, 5.896938052859458e-01, 5.211074392030104e-01
2, 9.977599978450000e-01, -3.275034890730624e-04, 1.248299790816875e+00, 5.542406045019530e-01, 5.398892910403450e-01
3, 9.960200190539999e-01, -5.899060771802121e-04, 1.238378043995236e+00, 5.320938482036510e-01, 5.518055400294324e-01
4, 9.937800168990000e-01, -9.470182051650118e-04, 1.231453639554894e+00, 5.166375882921748e-01, 5.597414275257389e-01
5, 9.910500049590000e-01, -1.421882733090381e-03, 1.224679706952716e+00, 5.015172030194563e-01, 5.675195855586523e-01
6, 9.878399968150000e-01, -2.045025963133951e-03, 1.214580971682750e+00, 4.789753832204247e-01, 5.781991071221452e-01
7, 9.841300249100000e-01, -2.852694751749263e-03, 1.198657319805172e+00, 4.434315174222589e-01, 5.947939664819952e-01
8, 9.799500107769999e-01, -3.857150905894633e-03, 1.175145002453401e+00, 3.909486661906281e-01, 6.190598530924418e-01
9, 9.752799868580000e-01, -5.055521211467315e-03, 1.144173147743597e+00, 3.218150619276710e-01, 6.509366981735767e-01
10, 9.701499938960000e-01, -6.401007185149609e-03, 1.107617882660910e+00, 2.402184880823884e-01, 6.884871390494590e-01
11, 9.645400047300000e-01, -7.835178044537476e-03, 1.069401138574332e+00, 1.549132557462774e-01, 7.275984121809678e-01
12, 9.584699869160000e-01, -9.282769506148536e-03, 1.035745232098046e+00, 7.978846450456654e-02, 7.621671392266972e-01
13, 9.519400000570000e-01, -1.068849129215442e-02, 1.012168248648957e+00, 2.716126930570745e-02, 7.867286953737382e-01
14, 9.449599981310000e-01, -1.202444458736597e-02, 1.000218523849212e+00, 4.877764491345582e-04, 7.993883623562412e-01
15, 9.375399947170000e-01, -1.329505481169327e-02, 9.973159004941498e-01, -5.991293539844299e-03, 8.024555876443699e-01
16, 9.296900033950000e-01, -1.452764578739198e-02, 9.989784148650833e-01, -2.280323961867590e-03, 8.005766957247378e-01
17, 9.214000105860000e-01, -1.576050580245942e-02, 1.001142188655711e+00, 2.549528249354976e-03, 7.980994983056735e-01
18, 9.126999974250000e-01, -1.702090959571588e-02, 1.001298787229686e+00, 2.899078637692248e-03, 7.977037166296987e-01
19, 9.035800099370001e-01, -1.832991286960273e-02, 9.986015897443381e-01, -3.121451463531020e-03, 8.002601173353203e-01
20, 8.940600156780000e-01, -1.969119479095347e-02, 9.933568853873921e-01, -1.482838083171410e-02, 8.054808537479603e-01
21, 8.841500282290000e-01, -2.110017230256222e-02, 9.863638459397353e-01, -3.043784388451953e-02, 8.125326383846877e-01
22, 8.738499879840000e-01, -2.254865721874066e-02, 9.784620965464271e-01, -4.807567735172516e-02, 8.205323710075180e-01
