"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.633641436214954e-05	-3.107108804811655e-01	3.947587667868489e-01	-9.498034454618420e-02	-8.963729953739787e-02	4.489380219796732e+01	0.000000000000000e+00	
1	9.990000128750000e-01	-1.457236188783947e-04	-2.717852111657810e-01	3.529420084510399e-01	-9.136173937993382e-02	-6.865582217077881e-02	-8.440425168772893e+01	0.000000000000000e+00	
2	9.977599978450000e-01	-3.302549042491773e-04	-2.691261939466046e-01	3.609213084808474e-01	-8.327062700366297e-02	-6.829256885372159e-02	-3.272439531519291e+00	0.000000000000000e+00	
3	9.960200190539999e-01	-6.046871232567193e-04	-2.676435799733635e-01	3.652911739041711e-01	-8.853169011922526e-02	-6.809690160076101e-02	-1.863071829353120e+00	0.000000000000000e+00	
4	9.937800168990000e-01	-1.000007737967988e-03	-2.664476466733649e-01	3.683732403614263e-01	-1.020649870111607e-01	-6.752933398844217e-02	-6.808169541876503e-01	0.000000000000000e+00	
5	9.910500049590000e-01	-1.566666813248642e-03	-2.627703276865475e-01	3.683070332502875e-01	-1.247012440310613e-01	-6.657226916850784e-02	2.413225251790012e-01	0.000000000000000e+00	
6	9.878399968150000e-01	-2.368821312505969e-03	-2.515899428814007e-01	3.581319831513311e-01	-1.559778377907438e-01	-6.371082717416406e-02	5.008798967440240e-01	0.000000000000000e+00	
7	9.841300249100000e-01	-3.473358066122064e-03	-2.284786678362788e-01	3.316181009456065e-01	-1.936990828285756e-01	-5.782132398677569e-02	7.824174421696298e-01	0.000000000000000e+00	
8	9.799500107769999e-01	-4.897493215426950e-03	-1.889307296855431e-01	2.829000273977861e-01	-2.342354528694341e-01	-4.780276824381927e-02	7.991571158728736e-01	0.000000000000000e+00	
9	9.752799868580000e-01	-6.610148709794190e-03	-1.285794896089688e-01	2.070254498922362e-01	-2.717136284267043e-01	-3.254161785923191e-02	6.355081242986615e-01	0.000000000000000e+00	
10	9.701499938960000e-01	-8.490367207790159e-03	-4.544435343967603e-02	1.028876444201922e-01	-2.978135318741753e-01	-1.142988829113901e-02	3.598033375537911e+00	0.000000000000000e+00	
11	9.645400047300000e-01	-1.038417072467367e-02	5.909119885227564e-02	-2.379521873580579e-02	-3.035402546460769e-01	1.523925666138328e-02	5.886058298362667e+00	0.000000000000000e+00	
