VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.0408278      , 0.001           
          1               , -0.0184083      , 0.001           
          2               , -0.00542179     , 0.001           
          3               , 0.00190139      , 0.001           
          4               , 0.00545189      , 0.001           
          5               , 0.00617994      , 0.001           
          6               , 0.00466952      , 0.001           
          7               , 0.0015207       , 0.001           
          8               , -0.00244286     , 0.001           
          9               , -0.00619621     , 0.001           
          10              , -0.00879477     , 0.001           
          11              , -0.00981133     , 0.001           
          12              , -0.00962761     , 0.001           
          13              , -0.00921999     , 0.001           
          14              , -0.00943734     , 0.001           
          15              , -0.0104571      , 0.001           
          16              , -0.0121636      , 0.001           
          17              , -0.0144651      , 0.001           
          18              , -0.0142142      , 0.001           
          19              , -0.000341813    , 0.001           
          20              , 0.0361503       , 0.001           
          21              , 0.0249992       , 0.001           
          22              , -0.00574241     , 0.001           
          23              , -0.0375034      , 0.001           
          24              , -0.0582521      , 0.001           
          25              , -0.062172       , 0.001           
          26              , -0.0494615      , 0.001           
          27              , -0.0255256      , 0.001           
          28              , 0.00084934      , 0.001           
          29              , 0.0205144       , 0.001           
          30              , 0.0277586       , 0.001           
          31              , 0.0233677       , 0.001           
          32              , 0.0143742       , 0.001           
          33              , 0.00887696      , 0.001           
          34              , 0.00921726      , 0.001           
          35              , 0.0117764       , 0.001           
          36              , 0.0139624       , 0.001           
          37              , 0.014469        , 0.001           
