VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.00929725     , 0.001           
          1               , 0.0108079       , 0.001           
          2               , 0.017457        , 0.001           
          3               , 0.0124708       , 0.001           
          4               , -0.00496395     , 0.001           
          5               , -0.0354751      , 0.001           
          6               , -0.0777482      , 0.001           
          7               , -0.127598       , 0.001           
          8               , -0.178268       , 0.001           
          9               , -0.222275       , 0.001           
          10              , -0.254486       , 0.001           
          11              , -0.275047       , 0.001           
          12              , -0.290055       , 0.001           
          13              , -0.30869        , 0.001           
          14              , -0.338515       , 0.001           
          15              , -0.383757       , 0.001           
          16              , -0.450345       , 0.001           
          17              , -0.558596       , 0.001           
          18              , -0.795176       , 0.001           
          19              , 0.560121        , 0.001           
          20              , 1.13197         , 0.001           
          21              , 1.48844         , 0.001           
          22              , 1.61398         , 0.001           
          23              , 1.53234         , 0.001           
          24              , 1.2936          , 0.001           
          25              , 0.960642        , 0.001           
          26              , 0.596177        , 0.001           
          27              , 0.25313         , 0.001           
          28              , -0.0299783      , 0.001           
          29              , -0.228418       , 0.001           
          30              , -0.327465       , 0.001           
          31              , -0.319768       , 0.001           
          32              , -0.209295       , 0.001           
          33              , -0.0239298      , 0.001           
          34              , 0.175824        , 0.001           
          35              , 0.327373        , 0.001           
          36              , 0.443272        , 0.001           
          37              , 0.640499        , 0.001           
