SENS_AOA=2.41336093000436e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 1.568299184309776e-02, -2.843207051190365e-01, 2.692300979589577e-01, 6.080060467982771e-02, -7.608587749067877e-02, 1.000000000000000e+00, 0.000000000000000e+00
0, -1.217365763098319e-02, -2.934387661787844e-01, 3.584423897955810e-01, -9.796231935948890e-02, -8.038965975859255e-02, 9.997500181200000e-01, -3.633623460330237e-05
1, -6.110165937737035e-02, -2.647248943392314e-01, 3.368033513304023e-01, -9.223481587469815e-02, -6.604293711557256e-02, 9.990000128750000e-01, -1.457122840811305e-04
2, -3.546211780032861e-03, -2.623885213234745e-01, 3.467402467154745e-01, -8.521700389725687e-02, -6.603019037828456e-02, 9.977599978450000e-01, -3.301308965775305e-04
3, -2.419490827788830e-03, -2.613314004209008e-01, 3.525106379220669e-01, -9.023187805080947e-02, -6.606943356767127e-02, 9.960200190539999e-01, -6.040202609533208e-04
4, -6.085743446015626e-04, -2.606911779216119e-01, 3.569585878605646e-01, -1.035173381140596e-01, -6.578989134363068e-02, 9.937800168990000e-01, -9.976133382985336e-04
5, 1.313741441991198e-03, -2.573043947146926e-01, 3.576459698751075e-01, -1.258386858852459e-01, -6.497239311314360e-02, 9.910500049590000e-01, -1.560109601047509e-03
6, 2.200059141063001e-03, -2.463691029366730e-01, 3.480643051446405e-01, -1.566986157474108e-01, -6.222046936611964e-02, 9.878399968150000e-01, -2.354109171997013e-03
7, 3.454313114245697e-03, -2.235161415676863e-01, 3.221122816469848e-01, -1.938888556796668e-01, -5.643164846602046e-02, 9.841300249100000e-01, -3.445029556955585e-03
8, 3.841720556566694e-03, -1.843515493830113e-01, 2.740968974005242e-01, -2.337510522361289e-01, -4.653482876106968e-02, 9.799500107769999e-01, -4.849716654083807e-03
9, 3.512068353823017e-03, -1.247149361062516e-01, 1.993088437400430e-01, -2.704240078617092e-01, -3.146936496748067e-02, 9.752799868580000e-01, -6.538157938686695e-03
10, 1.826509528614883e-02, -4.288467490885046e-02, 9.698709454691312e-02, -2.956898711313725e-01, -1.070772394967638e-02, 9.701499938960000e-01, -8.392535774385618e-03
11, 3.033384800386478e-02, 5.915664975278127e-02, -2.677487119604861e-02, -3.006322013601946e-01, 1.529083467260672e-02, 9.645400047300000e-01, -1.026304466956480e-02
