"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.632896519016437e-05	6.638786816651158e+129	3.569755052375238e+136	9.779026105955152e+136	1.847476069080590e+144	4.125075755451799e+143	6.213598763414783e+13	9.207758382704909e+143	1.681261267306869e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	3.144276193019199e+129	-9.032904051560969e+135	2.237139035164682e+136	6.145684335765210e+143	2.088031156276356e+143	6.640737098452493e+13	4.660783830974010e+143	7.957848697672888e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	3.227885424218682e+129	-9.022840421612593e+135	2.259706654452576e+136	6.150912084827079e+143	2.093537026940181e+143	6.485784815137691e+13	4.673073720848617e+143	7.910643004355505e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	8.163038620461590e+128	-5.478917821420437e+135	4.469318497734151e+135	2.215790709835822e+143	7.638291791869541e+142	9.357167284157262e+13	1.704975846399451e+143	7.567772125886791e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	8.051922966391784e+128	-5.475287508072735e+135	4.470982431748583e+135	2.212474237758985e+143	7.608741082813478e+142	9.449594978208164e+13	1.698379705985151e+143	7.632692108291140e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	5.019440409967120e+128	-5.039456080236867e+135	2.514893174761962e+134	1.165809785843120e+143	3.648808753447488e+142	7.269353663810884e+13	8.144662396088144e+142	9.964524042308889e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	4.946414939682055e+128	-5.024101256683141e+135	2.592597556322553e+134	1.164618016777185e+143	3.635152779628081e+142	7.349065583773572e+13	8.114180311669824e+142	1.002686643976551e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	3.827188135076352e+128	-3.848517774127644e+135	-8.946253796657374e+134	6.432763964136813e+142	1.757287649523554e+142	4.591589405856309e+13	3.922517074829362e+142	1.287645103121529e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	3.795498205695296e+128	-3.839872744209456e+135	-8.936140673236492e+134	6.428399177710295e+142	1.752327862837272e+142	4.616858625325747e+13	3.911446122404625e+142	1.292003485683775e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	2.462820446497438e+128	-2.570685991270249e+135	-8.642036995856994e+134	3.418867691121793e+142	7.702421035627564e+141	3.127479734294782e+13	1.719290409738296e+142	1.664199634306391e+00	
