VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.0420818      , 0.001           
          1               , -0.0202749      , 0.001           
          2               , -0.00805259     , 0.001           
          3               , -0.00154467     , 0.001           
          4               , 0.00126964      , 0.001           
          5               , 0.00147118      , 0.001           
          6               , -0.000260415    , 0.001           
          7               , -0.00330656     , 0.001           
          8               , -0.0069356      , 0.001           
          9               , -0.0103235      , 0.001           
          10              , -0.0127755      , 0.001           
          11              , -0.0140477      , 0.001           
          12              , -0.0145293      , 0.001           
          13              , -0.0150269      , 0.001           
          14              , -0.0162069      , 0.001           
          15              , -0.0182646      , 0.001           
          16              , -0.0213732      , 0.001           
          17              , -0.0260718      , 0.001           
          18              , -0.0307935      , 0.001           
          19              , -0.0185815      , 0.001           
          20              , 0.0695556       , 0.001           
          21              , 0.114093        , 0.001           
          22              , 0.120801        , 0.001           
          23              , 0.0977884       , 0.001           
          24              , 0.0559917       , 0.001           
          25              , 0.00779206      , 0.001           
          26              , -0.0348918      , 0.001           
          27              , -0.0626056      , 0.001           
          28              , -0.0702243      , 0.001           
          29              , -0.0583496      , 0.001           
          30              , -0.0335658      , 0.001           
          31              , -0.00654265     , 0.001           
          32              , 0.0126174       , 0.001           
          33              , 0.0201736       , 0.001           
          34              , 0.0206856       , 0.001           
          35              , 0.0211801       , 0.001           
          36              , 0.0239182       , 0.001           
          37              , 0.0278889       , 0.001           
