"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.278962314065258e+00, 6.226837367528084e-01, 4.555497867143909e-01
0, 9.997500181200000e-01, -3.633228910867252e-05, 1.290096579155227e+00, 6.475370070429165e-01, 4.940297667130552e-01
1, 9.990000128750000e-01, -1.454635703216378e-04, 1.263505109393614e+00, 5.881810477536018e-01, 5.218371323189945e-01
2, 9.977599978450000e-01, -3.274113307209993e-04, 1.247327941964213e+00, 5.520712990272615e-01, 5.409307614860722e-01
3, 9.960200190539999e-01, -5.894086083053142e-04, 1.237070183866734e+00, 5.291745175596740e-01, 5.532019763371211e-01
4, 9.937800168990000e-01, -9.452216555604570e-04, 1.229816336811284e+00, 5.129828946680451e-01, 5.614884332104531e-01
5, 9.910500049590000e-01, -1.416920936114088e-03, 1.222786745272650e+00, 4.972918421264503e-01, 5.695331255673034e-01
6, 9.878399968150000e-01, -2.033758741606321e-03, 1.212579836093128e+00, 4.745085627078748e-01, 5.803235821740047e-01
7, 9.841300249100000e-01, -2.830630634466177e-03, 1.196758606810290e+00, 4.391933187729688e-01, 5.968082781264280e-01
8, 9.799500107769999e-01, -3.819067493751274e-03, 1.173614538299988e+00, 3.875324515624739e-01, 6.206876668908435e-01
9, 9.752799868580000e-01, -4.996286771293875e-03, 1.143300019075939e+00, 3.198661140087935e-01, 6.518846224643472e-01
10, 9.701499938960000e-01, -6.316976631351666e-03, 1.107676156425380e+00, 2.403485634495081e-01, 6.884775160539279e-01
11, 9.645400047300000e-01, -7.724898483397642e-03, 1.070598799219943e+00, 1.575866054016581e-01, 7.264250686476024e-01
12, 9.584699869160000e-01, -9.147436957535920e-03, 1.038067978281739e+00, 8.497316580745219e-02, 7.598444819115590e-01
13, 9.519400000570000e-01, -1.053133179846402e-02, 1.015276617177458e+00, 3.409959191396847e-02, 7.835789369150125e-01
14, 9.449599981310000e-01, -1.184967378443656e-02, 1.003624485213934e+00, 8.090368781102662e-03, 7.959042040302095e-01
15, 9.375399947170000e-01, -1.310669956224459e-02, 1.000617522837990e+00, 1.378399191942690e-03, 7.990690692766682e-01
16, 9.296900033950000e-01, -1.432871305498288e-02, 1.001973699999873e+00, 4.405580356858290e-03, 7.975109243835716e-01
17, 9.214000105860000e-01, -1.555267765624015e-02, 1.003811436337889e+00, 8.507670397073033e-03, 7.953758981221518e-01
18, 9.126999974250000e-01, -1.680477746404755e-02, 1.003733258057091e+00, 8.333165306007227e-03, 7.952250533150959e-01
19, 9.035800099370001e-01, -1.810537718228381e-02, 1.000923980373921e+00, 2.062456191787814e-03, 7.978990430100984e-01
20, 8.940600156780000e-01, -1.945795700813063e-02, 9.956717350348840e-01, -9.661305725705263e-03, 8.031284299083438e-01
21, 8.841500282290000e-01, -2.085805699730411e-02, 9.887399024245442e-01, -2.513414637378519e-02, 8.101168366468526e-01
22, 8.738499879840000e-01, -2.229775883926623e-02, 9.809322072074188e-01, -4.256203748344017e-02, 8.180184137041074e-01
23, 8.631799817090000e-01, -2.376527010951418e-02, 9.728892931271044e-01, -6.051497069842775e-02, 8.261733832269131e-01
24, 8.521599769590000e-01, -2.525015879516433e-02, 9.649899402447968e-01, -7.814745481072147e-02, 8.341791618118736e-01
25, 8.407700061800000e-01, -2.674936438254776e-02, 9.573828214385587e-01, -9.512763071750294e-02, 8.418862945681006e-01
26, 8.290500044819999e-01, -2.825370671652566e-02, 9.500587781431865e-01, -1.114759416446730e-01, 8.493000981707147e-01
27, 8.170099854470000e-01, -2.975933529659635e-02, 9.429512208828421e-01, -1.273410248150846e-01, 8.565041136670793e-01
28, 8.046399950980000e-01, -3.126539785917710e-02, 9.359805792144442e-01, -1.429004928249013e-01, 8.635658166700309e-01
29, 7.919700145720000e-01, -3.276623564881004e-02, 9.291016825579356e-01, -1.582551728617510e-01, 8.705411229172840e-01
30, 7.790099978450000e-01, -3.425858577516529e-02, 9.222867127122363e-01, -1.734671591244726e-01, 8.774768361414148e-01
31, 7.657799720760000e-01, -3.573784883389101e-02, 9.154863784290801e-01, -1.886464767208034e-01, 8.844058393270778e-01
32, 7.522799968720000e-01, -3.720149280074100e-02, 9.086546059093162e-01, -2.038959689524191e-01, 8.913775349587487e-01
