SENS_AOA=8.89709634430986e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 1.555473129796755e-02, -2.858374964230566e-01, 2.728742589788283e-01, 5.254431011167932e-02, -7.647662277449015e-02, 1.000000000000000e+00, 0.000000000000000e+00
0, -1.791874576009338e-02, -2.919674124485783e-01, 3.553851395385549e-01, -9.785109190914708e-02, -7.918881409445987e-02, 9.997500181200000e-01, -3.633648975082208e-05
1, -5.597801217717245e-02, -2.656246289831068e-01, 3.377954438273432e-01, -9.175385117618078e-02, -6.614027032122921e-02, 9.990000128750000e-01, -1.457283719804715e-04
2, -3.082977378595557e-03, -2.637779434909072e-01, 3.487398403496005e-01, -8.505811176145020e-02, -6.629208972572545e-02, 9.977599978450000e-01, -3.303068936075130e-04
3, -2.047766424243537e-03, -2.631531591401677e-01, 3.553504882536571e-01, -9.023405872809290e-02, -6.645471532090451e-02, 9.960200190539999e-01, -6.049665979775362e-04
4, -2.318808557999013e-04, -2.629326992339793e-01, 3.606392000394917e-01, -1.038751806370413e-01, -6.630212909373209e-02, 9.937800168990000e-01, -1.001010638414981e-03
5, 1.600351307828603e-03, -2.597895122256588e-01, 3.618863175297438e-01, -1.267568769025647e-01, -6.555237999785797e-02, 9.910500049590000e-01, -1.569411031893540e-03
6, 2.490907204240808e-03, -2.488959551713685e-01, 3.525229255396375e-01, -1.583881327478607e-01, -6.281272056254708e-02, 9.878399968150000e-01, -2.374971035904257e-03
7, 3.856477275073511e-03, -2.258070423173685e-01, 3.263225909579325e-01, -1.965759351259022e-01, -5.696308414983008e-02, 9.841300249100000e-01, -3.485179279916870e-03
8, 4.326920313962502e-03, -1.859698749100512e-01, 2.773981386848354e-01, -2.376600269424111e-01, -4.689606031724178e-02, 9.799500107769999e-01, -4.917382100939759e-03
9, 3.796307417225931e-03, -1.249395000866264e-01, 2.007474601131099e-01, -2.756988975638581e-01, -3.148080845124186e-02, 9.752799868580000e-01, -6.640016080655383e-03
10, 2.226111038423031e-02, -4.063822751273240e-02, 9.517640047184241e-02, -3.022425892082675e-01, -1.008195439732484e-02, 9.701499938960000e-01, -8.530760565300017e-03
11, 3.968750842250773e-02, 6.580253819694962e-02, -3.368313739940328e-02, -3.082312857402387e-01, 1.707930585731791e-02, 9.645400047300000e-01, -1.043383720110875e-02
12, -2.458323790692672e-02, 1.859814815920741e-01, -1.721082099243156e-01, -2.849643467850428e-01, 4.771980412116366e-02, 9.584699869160000e-01, -1.217505871683403e-02
13, -9.351305243287894e-02, 2.835672879045892e-01, -2.841442777441773e-01, -2.283922882179585e-01, 7.246956200578292e-02, 9.519400000570000e-01, -1.363737915579233e-02
14, -4.315628059277644e-02, 2.943290261104548e-01, -3.063702355224064e-01, -1.571346594948417e-01, 7.516295480264443e-02, 9.449599981310000e-01, -1.478716932900747e-02
15, 3.361883812920038e-02, 2.083749449019461e-01, -2.215657226441625e-01, -1.049531472796710e-01, 5.294408716723786e-02, 9.375399947170000e-01, -1.568025662907277e-02
