"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
149, 4.960500001910000e-01, 4.946165655376827e-02, 5.695301135894717e-01, -9.608702821663578e-01, 1.274322471238387e+00
150, 5.118399858470000e-01, 4.879665011885723e-02, 5.677498847619463e-01, -9.648440072277984e-01, 1.275304446087156e+00
151, 5.276100039480000e-01, 4.807093025479293e-02, 5.563679517566602e-01, -9.902501076860264e-01, 1.295374391313254e+00
152, 5.433599948880000e-01, 4.728415308796063e-02, 5.448228289419568e-01, -1.016020471111704e+00, 1.295354378181822e+00
153, 5.590599775310000e-01, 4.643755543228912e-02, 5.973920320709959e-01, -8.986784998415270e-01, 1.225874363605124e+00
154, 5.747100114820000e-01, 4.553099634937762e-02, 8.046447076031905e-01, -4.360609205285926e-01, 9.484494571528663e-01
155, 5.902799963950000e-01, 4.456624631190191e-02, 9.688113127147123e-01, -6.961760554751713e-02, 7.955861822553228e-01
156, 6.057599782940000e-01, 4.354421415933901e-02, 9.749226035021953e-01, -5.597633146831410e-02, 7.953528884700969e-01
157, 6.211299896240000e-01, 4.246675408364364e-02, 9.527246917822788e-01, -1.055252415574134e-01, 8.179888814936186e-01
158, 6.363800168040000e-01, 4.133538489991773e-02, 9.434721928519901e-01, -1.261781409553792e-01, 8.276725165526132e-01
159, 6.514999866490000e-01, 4.015192474938142e-02, 9.433232006722089e-01, -1.265107127852481e-01, 8.283076457944429e-01
160, 6.664699912070000e-01, 3.891934648111631e-02, 9.438013906073391e-01, -1.254433245371894e-01, 8.280534023202430e-01
161, 6.812700033190000e-01, 3.764114085274212e-02, 9.445156107098940e-01, -1.238490832368438e-01, 8.273459728494729e-01
162, 6.958900094030001e-01, 3.632039617908702e-02, 9.468774457051728e-01, -1.185771301223820e-01, 8.249405430569651e-01
163, 7.103199958800001e-01, 3.496057000765254e-02, 9.507541406779216e-01, -1.099237931296392e-01, 8.209975048859445e-01
164, 7.245299816130000e-01, 3.356748462860448e-02, 9.555446132315094e-01, -9.923077403680935e-02, 8.160788356896453e-01
165, 7.385200262070000e-01, 3.214450412672002e-02, 9.610040524076477e-01, -8.704452587578629e-02, 8.104576394578658e-01
166, 7.522799968720000e-01, 3.069627369711382e-02, 9.670377270658252e-01, -7.357650208521151e-02, 8.042343006538214e-01
167, 7.657799720760000e-01, 2.922993692163100e-02, 9.735728547772976e-01, -5.898916344353214e-02, 7.975000355292877e-01
168, 7.790099978450000e-01, 2.775090483115013e-02, 9.805049228287144e-01, -4.351579725733398e-02, 7.903195599815072e-01
169, 7.919700145720000e-01, 2.626365968943160e-02, 9.877727950501628e-01, -2.729286819160090e-02, 7.828135375992299e-01
170, 8.046399950980000e-01, 2.477512014807030e-02, 9.952794874411007e-01, -1.053685839040016e-02, 7.750494838850271e-01
171, 8.170099854470000e-01, 2.329119085902742e-02, 1.002946187052759e+00, 6.576310385622167e-03, 7.671000988989933e-01
172, 8.290500044819999e-01, 2.182023675932331e-02, 1.010697843629920e+00, 2.387911524535737e-02, 7.590660246435587e-01
173, 8.407700061800000e-01, 2.036562052230631e-02, 1.018462679229664e+00, 4.121133756621340e-02, 7.510128004592891e-01
174, 8.521599769590000e-01, 1.893272271957574e-02, 1.026196665793372e+00, 5.847470043163316e-02, 7.429847375540222e-01
175, 8.631799817090000e-01, 1.753016368798928e-02, 1.033867833408863e+00, 7.559784243049854e-02, 7.350090076077659e-01
176, 8.738499879840000e-01, 1.615816738471897e-02, 1.041482538796151e+00, 9.259495266997902e-02, 7.270734189669043e-01
177, 8.841500282290000e-01, 1.482111105853916e-02, 1.049108963054956e+00, 1.096182211048134e-01, 7.191117014597241e-01
178, 8.940600156780000e-01, 1.352271752816122e-02, 1.056854108681592e+00, 1.269064925928391e-01, 7.109909813249750e-01
179, 9.035800099370001e-01, 1.226394073743730e-02, 1.064889728546733e+00, 1.448431440775293e-01, 7.025454733044263e-01
180, 9.126999974250000e-01, 1.104788451979130e-02, 1.073350954208506e+00, 1.637298085011305e-01, 6.936011530879872e-01
181, 9.214000105860000e-01, 9.881018437265399e-03, 1.082295472765023e+00, 1.836952517076414e-01, 6.841158412916034e-01
182, 9.296900033950000e-01, 8.768670883949978e-03, 1.091570181360817e+00, 2.043977262518241e-01, 6.742535622135031e-01
31, 7.657799720760000e-01, -3.142129815995952e-02, 9.615354081791047e-01, -8.585846388592711e-02, 8.367601615667920e-01
32, 7.522799968720000e-01, -3.288097044768860e-02, 9.557809205705293e-01, -9.870330229792562e-02, 8.425817566649101e-01
33, 7.385200262070000e-01, -3.433774676585794e-02, 9.500011476350931e-01, -1.116045811716671e-01, 8.484380270784443e-01
34, 7.245299816130000e-01, -3.578681196670078e-02, 9.442053327181923e-01, -1.245416680397494e-01, 8.543205310655708e-01
35, 7.103199958800001e-01, -3.722547336924964e-02, 9.383979809898046e-01, -1.375045067191861e-01, 8.602143079765822e-01
36, 6.958900094030001e-01, -3.865199824855568e-02, 9.325805366725958e-01, -1.504898734986702e-01, 8.661425505179597e-01
37, 6.812700033190000e-01, -4.006165801433185e-02, 9.267305139171694e-01, -1.635479600063182e-01, 8.720948422850137e-01
38, 6.664699912070000e-01, -4.145173143585310e-02, 9.208455624643751e-01, -1.766840123563056e-01, 8.780976156400385e-01
39, 6.514999866490000e-01, -4.281945401879783e-02, 9.149065896643139e-01, -1.899406480707278e-01, 8.841658047780263e-01
40, 6.363800168040000e-01, -4.416113621313505e-02, 9.089115023628259e-01, -2.033225393686922e-01, 8.902974703106112e-01
41, 6.211299896240000e-01, -4.547315141595892e-02, 9.028485852463638e-01, -2.168558365036522e-01, 8.965142021459351e-01
42, 6.057599782940000e-01, -4.675273044978961e-02, 8.967156118216385e-01, -2.305455093266998e-01, 9.028090937222736e-01
43, 5.902799963950000e-01, -4.799704912947937e-02, 8.904913923085083e-01, -2.444388564542226e-01, 9.092173884754154e-01
44, 5.747100114820000e-01, -4.920246155424841e-02, 8.841560804900974e-01, -2.585801774774611e-01, 9.157496548307004e-01
45, 5.590599775310000e-01, -5.036610308235417e-02, 8.777071844876000e-01, -2.729750346258929e-01, 9.224190518041594e-01
