VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -0.00364936     , 0.001           
          1               , 0.0304865       , 0.001           
          2               , 0.0565546       , 0.001           
          3               , 0.0762109       , 0.001           
          4               , 0.0877005       , 0.001           
          5               , 0.0880794       , 0.001           
          6               , 0.0750147       , 0.001           
          7               , 0.0485489       , 0.001           
          8               , 0.0124558       , 0.001           
          9               , -0.0256029      , 0.001           
          10              , -0.0559602      , 0.001           
          11              , -0.0709996      , 0.001           
          12              , -0.0697985      , 0.001           
          13              , -0.0597821      , 0.001           
          14              , -0.0521233      , 0.001           
          15              , -0.05322        , 0.001           
          16              , -0.0620136      , 0.001           
          17              , -0.0777414      , 0.001           
          18              , -0.104787       , 0.001           
          19              , 0.230649        , 0.001           
          20              , 0.0133444       , 0.001           
          21              , -0.17907        , 0.001           
          22              , -0.280457       , 0.001           
          23              , -0.293573       , 0.001           
          24              , -0.243932       , 0.001           
          25              , -0.161244       , 0.001           
          26              , -0.070498       , 0.001           
          27              , 0.0113666       , 0.001           
          28              , 0.074813        , 0.001           
          29              , 0.11471         , 0.001           
          30              , 0.127418        , 0.001           
          31              , 0.111212        , 0.001           
          32              , 0.0721894       , 0.001           
          33              , 0.0314538       , 0.001           
          34              , 0.0177722       , 0.001           
          35              , 0.035732        , 0.001           
          36              , 0.0573604       , 0.001           
          37              , 0.0799216       , 0.001           
