SENS_AOA=0.000286957825533829
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
199, 1.525465609291685e-02, -2.900890050931826e-01, 2.855328436752143e-01, -2.629462384336207e-01, -7.751182200261698e-02, 1.000000000000000e+00, 0.000000000000000e+00
0, -2.554086299492642e-01, -1.781932156808486e-01, 1.190273166150163e-01, -1.177241400360911e-01, -1.894511235781333e-02, 9.997500181200000e-01, -3.633236398810108e-05
1, 1.074605555782996e-01, -2.177090467715624e-01, 2.284272363903424e-01, -9.723918182882851e-02, -4.865911383214268e-02, 9.990000128750000e-01, -1.454682973850905e-04
2, 7.596744081776735e-03, -2.142625544493152e-01, 2.461455774209832e-01, -9.708621908918874e-02, -5.030142879305051e-02, 9.977599978450000e-01, -3.274631587342839e-04
3, 6.938391233362954e-03, -2.116035229562689e-01, 2.537519133135226e-01, -9.757694592051525e-02, -5.067966389449460e-02, 9.960200190539999e-01, -5.896883026525893e-04
4, 7.205568767998919e-03, -2.111398519848673e-01, 2.607296636963454e-01, -1.036443215490087e-01, -5.142784581900488e-02, 9.937800168990000e-01, -9.462313417983008e-04
5, 4.952030405597387e-03, -2.081909655336546e-01, 2.624268908908692e-01, -1.152675763482130e-01, -5.116887285519839e-02, 9.910500049590000e-01, -1.419707943324140e-03
6, 4.327145335129372e-03, -2.011702600414706e-01, 2.577085297656066e-01, -1.317856405379860e-01, -4.972357715857499e-02, 9.878399968150000e-01, -2.040082368967725e-03
7, 3.820489409494553e-03, -1.878026266376326e-01, 2.436975109486042e-01, -1.516647886840033e-01, -4.658795364016600e-02, 9.841300249100000e-01, -2.843000089039446e-03
8, 3.058626394660251e-03, -1.664095722339098e-01, 2.183077665548950e-01, -1.723320199893195e-01, -4.136601330326035e-02, 9.799500107769999e-01, -3.840385277703529e-03
9, 2.070961558818942e-03, -1.365132074239812e-01, 1.810128147726415e-01, -1.903274190733831e-01, -3.393710024847665e-02, 9.752799868580000e-01, -5.029376741722711e-03
10, 1.253457288906937e-03, -9.970054879296175e-02, 1.341806472158084e-01, -2.019452804486896e-01, -2.468882639084832e-02, 9.701499938960000e-01, -6.363792448189966e-03
11, -1.413547282228793e-06, -5.982165722349453e-02, 8.304676611021290e-02, -2.042321534160662e-01, -1.459667102177631e-02, 9.645400047300000e-01, -7.786122941189692e-03
12, -1.917094246845751e-03, -2.298761851358854e-02, 3.544629911768611e-02, -1.963558582710893e-01, -5.200959067206764e-03, 9.584699869160000e-01, -9.222232983391226e-03
13, -2.606422462453769e-03, 4.425103113973126e-03, -6.526048612418520e-04, -1.807000789619136e-01, 1.813116154130081e-03, 9.519400000570000e-01, -1.061770394647828e-02
14, -1.049475679270867e-03, 1.887823751843039e-02, -2.076350101998368e-02, -1.621107462181333e-01, 5.485900865481427e-03, 9.449599981310000e-01, -1.194507414841384e-02
15, 1.304682846291465e-03, 2.187689092971780e-02, -2.641661947712381e-02, -1.455265850002397e-01, 6.181433011292365e-03, 9.375399947170000e-01, -1.320871097075137e-02
16, 2.498505273262120e-03, 1.877667682588858e-02, -2.385684763074019e-02, -1.338369073556312e-01, 5.274224490280713e-03, 9.296900033950000e-01, -1.443553212095405e-02
17, 2.366504902967273e-03, 1.499391912010269e-02, -1.971270386672992e-02, -1.272694914064250e-01, 4.212747881663561e-03, 9.214000105860000e-01, -1.566329112556964e-02
18, 1.698992464971373e-03, 1.391023109520941e-02, -1.827841766211202e-02, -1.245999387928071e-01, 3.851977428953422e-03, 9.126999974250000e-01, -1.691883592254596e-02
19, 1.078909336313653e-03, 1.643053216500619e-02, -2.090256371453798e-02, -1.241039104928762e-01, 4.446835070127404e-03, 9.035800099370001e-01, -1.822295770400193e-02
20, 5.861618938848870e-04, 2.222300128135043e-02, -2.734818075292823e-02, -1.243652809913492e-01, 5.887328161425880e-03, 8.940600156780000e-01, -1.957928005223743e-02
21, 2.679849824631371e-04, 3.033775945017217e-02, -3.655788572596931e-02, -1.244727764536222e-01, 7.928272716810084e-03, 8.841500282290000e-01, -2.098329247378215e-02
22, 1.445525126645329e-04, 3.969941902617955e-02, -4.728858705799951e-02, -1.239634860335414e-01, 1.029896068078143e-02, 8.738499879840000e-01, -2.242693296318299e-02
23, 1.120327291417856e-04, 4.954887982551993e-02, -5.861429261404408e-02, -1.228109647650065e-01, 1.278105714879708e-02, 8.631799817090000e-01, -2.389824442562398e-02
24, 1.795092360719394e-04, 5.930679467789875e-02, -6.985028741437434e-02, -1.210998765702669e-01, 1.524667164958920e-02, 8.521599769590000e-01, -2.538666704543952e-02
25, 2.694418473580317e-04, 6.879292885277492e-02, -8.075230816138323e-02, -1.190430143180610e-01, 1.763219414664621e-02, 8.407700061800000e-01, -2.688907562169451e-02
26, 3.599458968294117e-04, 7.795170790243436e-02, -9.125079128741287e-02, -1.167746623728777e-01, 1.994170984735330e-02, 8.290500044819999e-01, -2.839625193586448e-02
27, 4.165437938136108e-04, 8.686619413440096e-02, -1.014346125281896e-01, -1.143793400993607e-01, 2.219507064670960e-02, 8.170099854470000e-01, -2.990434688442520e-02
28, 3.519193414650300e-04, 9.572619889100496e-02, -1.115048634075763e-01, -1.119261733660177e-01, 2.442406900297891e-02, 8.046399950980000e-01, -3.141252639547624e-02
29, 2.279806860377561e-04, 1.045910018331967e-01, -1.215431883778151e-01, -1.093874975942420e-01, 2.666607499503663e-02, 7.919700145720000e-01, -3.291514500732182e-02
30, 9.977993818678520e-05, 1.135824981606798e-01, -1.316715871381721e-01, -1.067772865792647e-01, 2.892589955333688e-02, 7.790099978450000e-01, -3.440895391677488e-02
31, 9.832561589127906e-05, 1.226915227658775e-01, -1.418886820827207e-01, -1.040611918273469e-01, 3.121920321132506e-02, 7.657799720760000e-01, -3.588936134983843e-02
32, 2.225814639027913e-04, 1.318830261354335e-01, -1.521561295513206e-01, -1.012159603097976e-01, 3.353599666410974e-02, 7.522799968720000e-01, -3.735383961529688e-02
33, 3.556288365380947e-04, 1.410910221100918e-01, -1.624062497283993e-01, -9.821718101124080e-02, 3.586454090029097e-02, 7.385200262070000e-01, -3.879857729248427e-02
