"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.279255382431596e+00, 6.233379072133834e-01, 4.554091326078533e-01
0, 9.997500181200000e-01, -3.633242776807304e-05, 1.290548648148399e+00, 6.485460896169630e-01, 4.935187745347603e-01
1, 9.990000128750000e-01, -1.454723250330929e-04, 1.264205705316565e+00, 5.897448779387621e-01, 5.210711557390767e-01
2, 9.977599978450000e-01, -3.275073443059556e-04, 1.248337737990334e+00, 5.543253080141374e-01, 5.398373311757030e-01
3, 9.960200190539999e-01, -5.899269822253696e-04, 1.238434691448223e+00, 5.322202934112115e-01, 5.517339127212407e-01
4, 9.937800168990000e-01, -9.470942208442611e-04, 1.231529832555248e+00, 5.168076619536784e-01, 5.596488664545725e-01
5, 9.910500049590000e-01, -1.422094763315730e-03, 1.224774021461687e+00, 5.017277264769797e-01, 5.674080967425663e-01
6, 9.878399968150000e-01, -2.045514110094121e-03, 1.214689452903508e+00, 4.792175288024731e-01, 5.780731810715563e-01
7, 9.841300249100000e-01, -2.853668772948421e-03, 1.198774046228847e+00, 4.436920674751059e-01, 5.946601482365508e-01
8, 9.799500107769999e-01, -3.858874344236876e-03, 1.175262148033517e+00, 3.912101518605301e-01, 6.189268164132389e-01
9, 9.752799868580000e-01, -5.058289863890167e-03, 1.144281315780819e+00, 3.220565084393290e-01, 6.508141860852272e-01
10, 9.701499938960000e-01, -6.405098951600427e-03, 1.107706990545842e+00, 2.404173896112552e-01, 6.883855160069640e-01
11, 9.645400047300000e-01, -7.840828073534287e-03, 1.069460017369397e+00, 1.550446816281190e-01, 7.275289794835343e-01
12, 9.584699869160000e-01, -9.290140206419465e-03, 1.035762980743877e+00, 7.982808201758225e-02, 7.621398931037524e-01
13, 9.519400000570000e-01, -1.069767985138406e-02, 1.012141159529718e+00, 2.710080252169210e-02, 7.867472938187051e-01
14, 9.449599981310000e-01, -1.203549847897002e-02, 1.000150028626031e+00, 3.348853259624902e-04, 7.994496575446525e-01
15, 9.375399947170000e-01, -1.330799358730808e-02, 9.972125779074364e-01, -6.221924313757928e-03, 8.025525722027281e-01
16, 9.296900033950000e-01, -1.454247502343999e-02, 9.988459711992667e-01, -2.575957144494067e-03, 8.007030368318208e-01
17, 9.214000105860000e-01, -1.577722347144566e-02, 1.000984047776326e+00, 2.196535215012630e-03, 7.982514458170983e-01
18, 9.126999974250000e-01, -1.703949005368410e-02, 1.001116791490980e+00, 2.492838149509390e-03, 7.978795004155926e-01
19, 9.035800099370001e-01, -1.835030749152120e-02, 9.983970681713656e-01, -3.577972831773120e-03, 8.004586113851164e-01
20, 8.940600156780000e-01, -1.971332182088933e-02, 9.931317208393070e-01, -1.533098026940400e-02, 8.057003635847142e-01
21, 8.841500282290000e-01, -2.112392229311427e-02, 9.861208205890281e-01, -3.098031118520523e-02, 8.127704335844274e-01
22, 8.738499879840000e-01, -2.257390321600012e-02, 9.782046403013914e-01, -4.865035647010842e-02, 8.207849970763577e-01
23, 8.631799817090000e-01, -2.405116363407113e-02, 9.700511286203660e-01, -6.685015932954014e-02, 8.290549023936200e-01
24, 8.521599769590000e-01, -2.554504584519072e-02, 9.620551248902119e-01, -8.469838194149119e-02, 8.371617605052079e-01
