"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997500181200000e-01	-3.633243901583087e-05	1.199841536688681e+00	7.195393400429789e-01	1.010178344835311e-01	3.446430144324524e+00	1.290570192715161e+00	1.075617198815165e+00	6.485941801677705e-01	4.934874440582664e-01	
1	9.990000128750000e-01	-1.454730355933411e-04	1.181631676588865e+00	7.458926336411320e-01	1.066626831656480e-01	3.400857450105127e+00	1.264249965586119e+00	1.069918817034219e+00	5.898436731833019e-01	5.210152291829233e-01	
2	9.977599978450000e-01	-3.275151451220367e-04	1.171226928861779e+00	7.639552883081162e-01	1.128608216668652e-01	3.375618023569045e+00	1.248411223094753e+00	1.065900375350815e+00	5.544893372650733e-01	5.397501718080858e-01	
3	9.960200190539999e-01	-5.899691691566409e-04	1.164810187154072e+00	7.747319188345065e-01	1.197678331540892e-01	3.360154154233383e+00	1.238541657370428e+00	1.063299128930612e+00	5.324590566304206e-01	5.516111996926755e-01	
4	9.937800168990000e-01	-9.472470040225933e-04	1.160259803246809e+00	7.805885111761293e-01	1.302040454499357e-01	3.349060333654265e+00	1.231670463864746e+00	1.061547129718797e+00	5.171215711266661e-01	5.594901250404738e-01	
5	9.910500049590000e-01	-1.422518454336191e-03	1.155813961337778e+00	7.853295572535227e-01	1.448569135122921e-01	3.338235358121172e+00	1.224943159401519e+00	1.059809969749568e+00	5.021052665212468e-01	5.672194582107676e-01	
6	9.878399968150000e-01	-2.046481746564348e-03	1.148941337705973e+00	7.911105023654056e-01	1.633788374821563e-01	3.321168936329172e+00	1.214876314460415e+00	1.057387592029799e+00	4.796346304919980e-01	5.778663564127756e-01	
7	9.841300249100000e-01	-2.855578640768683e-03	1.138025101930775e+00	8.007632188375646e-01	1.838523086550586e-01	3.293984561628057e+00	1.198963154221256e+00	1.053547195213088e+00	4.441141835295903e-01	5.944516793625689e-01	
8	9.799500107769999e-01	-3.862205814021615e-03	1.121832074764839e+00	8.157777827898020e-01	2.031227516633109e-01	3.253583531599189e+00	1.175433762774989e+00	1.047780491586842e+00	3.915932204798864e-01	6.187376918989189e-01	
9	9.752799868580000e-01	-5.063544480092930e-03	1.100450317151272e+00	8.362090934947422e-01	2.172590110629272e-01	3.200188410620336e+00	1.144413242242724e+00	1.039949940861718e+00	3.223509871489375e-01	6.506671033288854e-01	
10	9.701499938960000e-01	-6.412689108097704e-03	1.075119546893704e+00	8.603396465843991e-01	2.230694328678592e-01	3.136818042714843e+00	1.107777181315997e+00	1.030375816825812e+00	2.405740654374931e-01	6.883029404447075e-01	
11	9.645400047300000e-01	-7.851021173195194e-03	1.048452331829026e+00	8.848355671384631e-01	2.189705291544999e-01	3.069863824205198e+00	1.069448658000374e+00	1.020026018860314e+00	1.550193258936918e-01	7.275307629966594e-01	
12	9.584699869160000e-01	-9.303011025518799e-03	1.024821876843652e+00	9.060423883346387e-01	2.059250488833995e-01	3.010357495286999e+00	1.035661439568118e+00	1.010577021206701e+00	7.960142760740690e-02	7.622339118888436e-01	
13	9.519400000570000e-01	-1.071314775902621e-02	1.008233562443952e+00	9.215708533035341e-01	1.877329388832589e-01	2.968564662304315e+00	1.011963248530294e+00	1.003699228259474e+00	2.670367975512069e-02	7.869206002846754e-01	
14	9.449599981310000e-01	-1.205339235249728e-02	9.998254342102105e-01	9.308284159454752e-01	1.691310503991955e-01	2.947409331077160e+00	9.999231076346522e-01	1.000097690477857e+00	-1.716347440799166e-04	7.996749176830568e-01	
15	9.375399947170000e-01	-1.332812882131484e-02	9.977507799451497e-01	9.348102328116020e-01	1.537975037033969e-01	2.942179345280537e+00	9.969623135234372e-01	9.992097561459630e-01	-6.780550170899047e-03	8.028022310151339e-01	
16	9.296900033950000e-01	-1.456470665819759e-02	9.988540425450970e-01	9.355746138123837e-01	1.433757305530206e-01	2.944910152344169e+00	9.985872110749697e-01	9.997328624015506e-01	-3.153546707656859e-03	8.009606509583100e-01	
17	9.214000105860000e-01	-1.580146672053570e-02	1.000293285836502e+00	9.352199909733274e-01	1.376255536747972e-01	2.948458980462962e+00	1.000720546617867e+00	1.000427135508570e+00	1.608362986309826e-03	7.985129107260084e-01	
