"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
0	9.997500181200000e-01	-3.633236397249770e-05	-1.782023571797767e-01	1.190463022630555e-01	-1.177229520044491e-01	-1.894979922844061e-02	-5.054673809980134e+02	0.000000000000000e+00	
1	9.990000128750000e-01	-1.454682963996789e-04	-2.177122042832009e-01	2.284348971572848e-01	-9.723876260940482e-02	-4.866015167602252e-02	1.068484812830173e+02	0.000000000000000e+00	
2	9.977599978450000e-01	-3.274631479222957e-04	-2.142654507231105e-01	2.461520318229264e-01	-9.708525343376531e-02	-5.030229988874051e-02	5.042428000747763e+00	0.000000000000000e+00	
3	9.960200190539999e-01	-5.896882442359748e-04	-2.116060533029750e-01	2.537574265542846e-01	-9.757600925123253e-02	-5.068042106765189e-02	3.444918031307435e+00	0.000000000000000e+00	
4	9.937800168990000e-01	-9.462311305383907e-04	-2.111418922627899e-01	2.607341396573905e-01	-1.036434305832021e-01	-5.142841695272234e-02	2.859749855956253e+00	0.000000000000000e+00	
5	9.910500049590000e-01	-1.419707358671310e-03	-2.081927392635360e-01	2.624307705867259e-01	-1.152666652407316e-01	-5.116936083766135e-02	1.639659499014479e+00	0.000000000000000e+00	
6	9.878399968150000e-01	-2.040081037558414e-03	-2.011718385124309e-01	2.577119480082133e-01	-1.317846796140426e-01	-4.972399887503654e-02	1.224906181051608e+00	0.000000000000000e+00	
7	9.841300249100000e-01	-2.842997471555890e-03	-1.878041156427311e-01	2.437006742393274e-01	-1.516637175601071e-01	-4.658834725505922e-02	9.441218018304673e-01	0.000000000000000e+00	
8	9.799500107769999e-01	-3.840380736029571e-03	-1.664110377356829e-01	2.183107866047233e-01	-1.723308390719934e-01	-4.136639484051012e-02	6.709973980184422e-01	0.000000000000000e+00	
9	9.752799868580000e-01	-5.029369628301899e-03	-1.365147392759521e-01	1.810158443388009e-01	-1.903261322510615e-01	-3.393749561379617e-02	4.092640456617427e-01	0.000000000000000e+00	
10	9.701499938960000e-01	-6.363782265634595e-03	-9.970221858037549e-02	1.341837907343620e-01	-2.019439155924797e-01	-2.468925397852012e-02	2.260653401395747e-01	0.000000000000000e+00	
11	9.645400047300000e-01	-7.786109423308218e-03	-5.982350992738255e-02	8.305010052638885e-02	-2.042307640441351e-01	-1.459714524788246e-02	-2.563308650080762e-04	0.000000000000000e+00	
12	9.584699869160000e-01	-9.222216156184581e-03	-2.298965337743706e-02	3.544983006571903e-02	-1.963545203324544e-01	-5.201479479109863e-03	-2.969116893649966e-01	0.000000000000000e+00	
13	9.519400000570000e-01	-1.061768406748259e-02	4.422934409546958e-03	-6.489275699369545e-04	-1.806988570594260e-01	1.812560938839677e-03	-3.782560821074542e-01	0.000000000000000e+00	
14	9.449599981310000e-01	-1.194505160201203e-02	1.887602404144204e-02	-2.075978237602653e-02	-1.621096789104061e-01	5.485335926638458e-03	-1.434644120898745e-01	0.000000000000000e+00	
15	9.375399947170000e-01	-1.320868614664690e-02	2.187471063440109e-02	-2.641294918463751e-02	-1.455256569364668e-01	6.180877323436503e-03	1.686447397233372e-01	0.000000000000000e+00	
16	9.296900033950000e-01	-1.443550532891035e-02	1.877458611885286e-02	-2.385329807554566e-02	-1.338360941364135e-01	5.273694993734994e-03	3.060761785416345e-01	0.000000000000000e+00	
17	9.214000105860000e-01	-1.566326256318352e-02	1.499191068891434e-02	-1.970927101080922e-02	-1.272687498069384e-01	4.212241822789963e-03	2.756399696452185e-01	0.000000000000000e+00	
18	9.126999974250000e-01	-1.691880570439902e-02	1.390828609318289e-02	-1.827508218531017e-02	-1.245992451531593e-01	3.851490050934311e-03	1.887411456946284e-01	0.000000000000000e+00	
19	9.035800099370001e-01	-1.822292589742249e-02	1.642861382550889e-02	-2.089927943244499e-02	-1.241032425062469e-01	4.446354957653509e-03	1.145973618564233e-01	0.000000000000000e+00	
20	8.940600156780000e-01	-1.957924672607990e-02	2.222108918515120e-02	-2.734492493014723e-02	-1.243646349253762e-01	5.886851251884504e-03	5.973246147785280e-02	0.000000000000000e+00	
21	8.841500282290000e-01	-2.098325772316260e-02	3.033583716111504e-02	-3.655463593255975e-02	-1.244721513537177e-01	7.927793182963258e-03	2.625788618786145e-02	0.000000000000000e+00	
22	8.738499879840000e-01	-2.242689691558650e-02	3.969747952855864e-02	-4.728533490864412e-02	-1.239628856436671e-01	1.029847734475908e-02	1.365303862516470e-02	0.000000000000000e+00	
23	8.631799817090000e-01	-2.389820723668060e-02	4.954692051185691e-02	-5.861103180134739e-02	-1.228103902563320e-01	1.278056862753138e-02	1.023321135992323e-02	0.000000000000000e+00	
24	8.521599769590000e-01	-2.538662888493895e-02	5.930482101142742e-02	-6.984702403575298e-02	-1.210993303854229e-01	1.524618014343625e-02	1.587746958566594e-02	0.000000000000000e+00	
25	8.407700061800000e-01	-2.688903665769832e-02	6.879094314984024e-02	-8.074904186972917e-02	-1.190424960200545e-01	1.763169926793435e-02	2.312102072809900e-02	0.000000000000000e+00	
26	8.290500044819999e-01	-2.839621233099164e-02	7.794971046324932e-02	-9.124752278335622e-02	-1.167741706842908e-01	1.994121258126947e-02	3.005551819223571e-02	0.000000000000000e+00	
27	8.170099854470000e-01	-2.990430678975997e-02	8.686418637130727e-02	-1.014313420422857e-01	-1.143788730994752e-01	2.219457073395498e-02	3.386956123270997e-02	0.000000000000000e+00	
28	8.046399950980000e-01	-3.141248595119536e-02	9.572417911828432e-02	-1.115015899465971e-01	-1.119257290276697e-01	2.442356660731365e-02	2.790619495257607e-02	0.000000000000000e+00	
29	7.919700145720000e-01	-3.291510434766774e-02	1.045889686298375e-01	-1.215399089459655e-01	-1.093870759233966e-01	2.666556872972036e-02	1.766869294332321e-02	0.000000000000000e+00	
30	7.790099978450000e-01	-3.440891317374156e-02	1.135804454657722e-01	-1.316682944727440e-01	-1.067768867094270e-01	2.892538871017843e-02	7.569823772178624e-03	0.000000000000000e+00	
31	7.657799720760000e-01	-3.588932065749215e-02	1.226894478166518e-01	-1.418853730510020e-01	-1.040608162183092e-01	3.121868715746799e-02	7.311895205683936e-03	0.000000000000000e+00	
32	7.522799968720000e-01	-3.735379911324997e-02	1.318809364620758e-01	-1.521528090841263e-01	-1.012156118244909e-01	3.353547374326714e-02	1.623666235064378e-02	0.000000000000000e+00	
33	7.385200262070000e-01	-3.879853712832405e-02	1.410889164279450e-01	-1.624029184308274e-01	-9.821685961145482e-02	3.586401364280899e-02	2.549429116977310e-02	0.000000000000000e+00	
34	7.245299816130000e-01	-4.021769806747567e-02	1.502550041364703e-01	-1.725669630787486e-01	-9.505398890014323e-02	3.818333933417197e-02	2.986024075830700e-02	0.000000000000000e+00	
35	7.103199958800001e-01	-4.160768314173572e-02	1.593384828232965e-01	-1.826013554838264e-01	-9.172324024628928e-02	4.048050330373767e-02	2.853779579555022e-02	0.000000000000000e+00	
36	6.958900094030001e-01	-4.296595463465607e-02	1.683646694444289e-01	-1.925319459268267e-01	-8.824014752027720e-02	4.276317672152220e-02	2.000674428725955e-02	0.000000000000000e+00	
37	6.812700033190000e-01	-4.428732820002841e-02	1.773717204496637e-01	-2.023995443531773e-01	-8.460947650859610e-02	4.503688914755998e-02	9.038277727434455e-03	0.000000000000000e+00	
38	6.664699912070000e-01	-4.556880584131263e-02	1.863159921651476e-01	-2.121590306416020e-01	-8.084063783586073e-02	4.729691152472620e-02	2.925528975469058e-03	0.000000000000000e+00	
39	6.514999866490000e-01	-4.680760273144218e-02	1.951316571651224e-01	-2.217386283990658e-01	-7.694200759271680e-02	4.952139529431187e-02	1.569198711602852e-03	0.000000000000000e+00	
40	6.363800168040000e-01	-4.800038368180196e-02	2.037498617757109e-01	-2.310697633563925e-01	-7.292074918780181e-02	5.169929450977889e-02	5.351996507720380e-03	0.000000000000000e+00	
