SENS_AOA=0.000217171059434714
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
149, 2.453840922116933e-03, 2.883408836892067e-01, -3.031756212234987e-01, 5.149605978568660e-02, 7.265462814565586e-02, 4.960500001910000e-01, 4.664934720868159e-02
150, 1.110341392071664e-03, 2.791959772337528e-01, -2.937628153612261e-01, 5.770124116126698e-02, 7.034609272757174e-02, 5.118399858470000e-01, 4.624988921629714e-02
151, -4.997097170111132e-04, 2.694026332975641e-01, -2.836179730648822e-01, 6.398889143045708e-02, 6.786889837362177e-02, 5.276100039480000e-01, 4.577103451659540e-02
152, -1.198503277427868e-03, 2.584904185390169e-01, -2.722663983128444e-01, 7.031450398347246e-02, 6.510966151535871e-02, 5.433599948880000e-01, 4.521109445284399e-02
153, -6.908056749143841e-04, 2.465234282968640e-01, -2.597500281620167e-01, 7.662056294105411e-02, 6.208123478345499e-02, 5.590599775310000e-01, 4.456970529091341e-02
154, -1.610558980801617e-05, 2.338686232829174e-01, -2.464346902539316e-01, 8.284501763200323e-02, 5.887424252008632e-02, 5.747100114820000e-01, 4.384574592143186e-02
155, -7.064842197836713e-05, 2.207375312330329e-01, -2.325204721517750e-01, 8.898517413569962e-02, 5.555760236893476e-02, 5.902799963950000e-01, 4.303985889905127e-02
156, -5.397822063536793e-04, 2.072137760689624e-01, -2.180829712756664e-01, 9.503078715934593e-02, 5.214129758650928e-02, 6.057599782940000e-01, 4.215231560668365e-02
157, -6.577153633396980e-04, 1.932800025302369e-01, -2.031046742156274e-01, 1.009383437322620e-01, 4.862234661720792e-02, 6.211299896240000e-01, 4.118449536858819e-02
158, -3.929983757859925e-04, 1.789645943288697e-01, -1.875895063845214e-01, 1.066719089010214e-01, 4.499376966620046e-02, 6.363800168040000e-01, 4.013779274760060e-02
159, -6.640708441283066e-05, 1.642567965460861e-01, -1.715433796621961e-01, 1.121732426889661e-01, 4.127757060299092e-02, 6.514999866490000e-01, 3.901415583483533e-02
160, 2.861139230916968e-05, 1.492346881970578e-01, -1.550174002890252e-01, 1.174075265611113e-01, 3.747645557842265e-02, 6.664699912070000e-01, 3.781693959763824e-02
161, -4.962163515863224e-05, 1.339491621877547e-01, -1.380748832211543e-01, 1.223502990086512e-01, 3.361031558525867e-02, 6.812700033190000e-01, 3.655035852814038e-02
162, -1.466687107311080e-04, 1.184265924814415e-01, -1.207283042032290e-01, 1.269259720779474e-01, 2.968417522577598e-02, 6.958900094030001e-01, 3.521855942312935e-02
163, -2.312843726393649e-04, 1.027568717260509e-01, -1.030792972449884e-01, 1.311335072441223e-01, 2.571931782308915e-02, 7.103199958800001e-01, 3.382635268149694e-02
164, -2.886496011626499e-04, 8.695205502263727e-02, -8.513260366596047e-02, 1.348935908899659e-01, 2.172259255627696e-02, 7.245299816130000e-01, 3.238130042605789e-02
165, -3.251982892351791e-04, 7.111752575298515e-02, -6.700863741759334e-02, 1.382123771751513e-01, 1.771614786829351e-02, 7.385200262070000e-01, 3.088874506103501e-02
166, -3.099718172341239e-04, 5.529607238079503e-02, -4.875019605699726e-02, 1.410149000158098e-01, 1.371569926210737e-02, 7.522799968720000e-01, 2.935562921130564e-02
167, -2.994557246165095e-04, 3.962121708872123e-02, -3.051329759194382e-02, 1.433252340985043e-01, 9.751118839521900e-03, 7.657799720760000e-01, 2.779185440534626e-02
