VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , 0.0119261       , 0.001           
          1               , 0.0574686       , 0.001           
          2               , 0.0981297       , 0.001           
          3               , 0.132901        , 0.001           
          4               , 0.156512        , 0.001           
          5               , 0.162284        , 0.001           
          6               , 0.144806        , 0.001           
          7               , 0.102802        , 0.001           
          8               , 0.0415609       , 0.001           
          9               , -0.0263768      , 0.001           
          10              , -0.0837917      , 0.001           
          11              , -0.115286       , 0.001           
          12              , -0.115838       , 0.001           
          13              , -0.0958758      , 0.001           
          14              , -0.0759405      , 0.001           
          15              , -0.0711544      , 0.001           
          16              , -0.0812657      , 0.001           
          17              , -0.102093       , 0.001           
          18              , -0.139522       , 0.001           
          19              , 0.267974        , 0.001           
          20              , -0.0393421      , 0.001           
          21              , -0.265459       , 0.001           
          22              , -0.363959       , 0.001           
          23              , -0.357295       , 0.001           
          24              , -0.283682       , 0.001           
          25              , -0.178616       , 0.001           
          26              , -0.0679401      , 0.001           
          27              , 0.032859        , 0.001           
          28              , 0.115411        , 0.001           
          29              , 0.173329        , 0.001           
          30              , 0.198192        , 0.001           
          31              , 0.180896        , 0.001           
          32              , 0.122252        , 0.001           
          33              , 0.0491077       , 0.001           
          34              , 0.0119443       , 0.001           
          35              , 0.0333142       , 0.001           
          36              , 0.0685216       , 0.001           
          37              , 0.100553        , 0.001           
