"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997500181200000e-01	-3.633254500845769e-05	1.196836057530108e+00	7.264276457189794e-01	1.003435525325369e-01	3.439287083352572e+00	1.285850235827239e+00	1.074374579322776e+00	6.380585621143728e-01	4.995973276545623e-01	
1	9.990000128750000e-01	-1.454797205989588e-04	1.177846846001847e+00	7.495539835346032e-01	1.075106649958266e-01	3.391092711420517e+00	1.259074728967088e+00	1.068963026255040e+00	5.782918057301077e-01	5.255218371300262e-01	
2	9.977599978450000e-01	-3.275883144235679e-04	1.167984343775028e+00	7.664412001568537e-01	1.134090431819001e-01	3.367158172986450e+00	1.244071870050802e+00	1.065144303244556e+00	5.448032813633968e-01	5.432211091375581e-01	
3	9.960200190539999e-01	-5.903629306144900e-04	1.161988832253942e+00	7.764062840018737e-01	1.203172509626839e-01	3.352718252186630e+00	1.234841364324736e+00	1.062696413294678e+00	5.241994739391425e-01	5.543340608110662e-01	
4	9.937800168990000e-01	-9.486624089302510e-04	1.157829047548068e+00	7.815828304502989e-01	1.309256619827733e-01	3.342584182993412e+00	1.228552503002115e+00	1.061082813221708e+00	5.101618370582918e-01	5.615666450818954e-01	
5	9.910500049590000e-01	-1.426401003781954e-03	1.153653928164050e+00	7.857711912781288e-01	1.459060304535571e-01	3.332417129825409e+00	1.222236082646199e+00	1.059447770954408e+00	4.960626844781225e-01	5.688235815555733e-01	
6	9.878399968150000e-01	-2.055213138038402e-03	1.146902308260358e+00	7.911806023488061e-01	1.648729194642937e-01	3.315639806253514e+00	1.212357847591013e+00	1.057071590892462e+00	4.740130526585118e-01	5.792469586695294e-01	
7	9.841300249100000e-01	-2.872445540002377e-03	1.135911894428298e+00	8.006596862852059e-01	1.858354160610204e-01	3.288256066504402e+00	1.196351170185008e+00	1.053207714483110e+00	4.382838620201072e-01	5.959038094691749e-01	
8	9.799500107769999e-01	-3.890776994799377e-03	1.119420237184593e+00	8.157268884248327e-01	2.055374467189231e-01	3.247093119456714e+00	1.172404657948006e+00	1.047332019739675e+00	3.848318257767993e-01	6.205999464322894e-01	
9	9.752799868580000e-01	-5.106850065551409e-03	1.097511762484971e+00	8.364220438798058e-01	2.199249777705570e-01	3.192360891901280e+00	1.140641702538035e+00	1.039297929669027e+00	3.139323717366845e-01	6.532787295508294e-01	
10	9.701499938960000e-01	-6.471997344959259e-03	1.071447659642942e+00	8.609711606459831e-01	2.257001340599256e-01	3.127127007533823e+00	1.102973884743389e+00	1.029423952553085e+00	2.298524213022085e-01	6.919720695731841e-01	
11	9.645400047300000e-01	-7.925201494802771e-03	1.043905874522199e+00	8.859176313131284e-01	2.212207748631555e-01	3.057935214131887e+00	1.063430051051139e+00	1.018703004749233e+00	1.415849353820071e-01	7.324514523850714e-01	
12	9.584699869160000e-01	-9.388285602257598e-03	1.019500826367578e+00	9.074605404502070e-01	2.074548726957202e-01	2.996430747370656e+00	1.028582803252266e+00	1.008908258482779e+00	6.380090011666500e-02	7.682673865656005e-01	
13	9.519400000570000e-01	-1.080378567739779e-02	1.002554195350619e+00	9.231390402853661e-01	1.883559677452862e-01	2.953705912530557e+00	1.004401931375652e+00	1.001843028570029e+00	9.825739677795712e-03	7.935101807996832e-01	
14	9.449599981310000e-01	-1.214286047856953e-02	9.943094058598594e-01	9.323486603022924e-01	1.688717167390000e-01	2.932959424137397e+00	9.925977919319653e-01	9.982785902277433e-01	-1.652278586614891e-02	8.060766564137208e-01	
15	9.375399947170000e-01	-1.341035049632986e-02	9.927872467294685e-01	9.361078373200622e-01	1.528361033649854e-01	2.929133051973453e+00	9.904146401070505e-01	9.976101560226184e-01	-2.139589261819087e-02	8.084213693262557e-01	
16	9.296900033950000e-01	-1.463497133622930e-02	9.946186150107511e-01	9.365403382276379e-01	1.419553051270783e-01	2.933714801851588e+00	9.930631737218569e-01	9.984361429944913e-01	-1.548398722799793e-02	8.055234562065837e-01	
17	9.214000105860000e-01	-1.585674777104781e-02	9.967890901472746e-01	9.358215430737900e-01	1.359759766216533e-01	2.939123905024174e+00	9.962231546505969e-01	9.994322414819028e-01	-8.430458369203451e-03	8.020212018336976e-01	
18	9.126999974250000e-01	-1.710457670437205e-02	9.974456798599864e-01	9.354651567476657e-01	1.334839881390970e-01	2.940699443886263e+00	9.972398453340769e-01	9.997936383603985e-01	-6.161059522149673e-03	8.007484844717674e-01	
19	9.035800099370001e-01	-1.840060782801500e-02	9.959671265014423e-01	9.361058698277995e-01	1.327690868382668e-01	2.936864444955954e+00	9.952374777263219e-01	9.992673967285615e-01	-1.063063007517439e-02	8.026013588786766e-01	
20	8.940600156780000e-01	-1.974912500059896e-02	9.925995670854622e-01	9.378016534124731e-01	1.324773230946918e-01	2.928249086903754e+00	9.905576292191451e-01	9.979428382461293e-01	-2.107672049297959e-02	8.072548430313121e-01	
