"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.274910441467885e+00, 6.136393782765298e-01, 4.522028154784833e-01
0, 9.997500181200000e-01, -3.633247769499643e-05, 1.287696233361365e+00, 6.421790923244751e-01, 4.977214620242891e-01
1, 9.990000128750000e-01, -1.454754721220529e-04, 1.260980386348626e+00, 5.825455052424682e-01, 5.243355656413129e-01
2, 9.977599978450000e-01, -3.275417530106536e-04, 1.245567976889809e+00, 5.481428055576097e-01, 5.425140899718085e-01
3, 9.960200190539999e-01, -5.901118271758973e-04, 1.235999886277662e+00, 5.267854604412089e-01, 5.540043441838457e-01
4, 9.937800168990000e-01, -9.477568640935104e-04, 1.229401408285233e+00, 5.120567149223945e-01, 5.615729498375295e-01
5, 9.910500049590000e-01, -1.423905192102862e-03, 1.222852618028577e+00, 4.974388795280738e-01, 5.690844463847269e-01
6, 9.878399968150000e-01, -2.049562216931905e-03, 1.212847277814683e+00, 4.751055308363456e-01, 5.796429293873198e-01
7, 9.841300249100000e-01, -2.861424716378581e-03, 1.196848409103320e+00, 4.393937703199118e-01, 5.962894571431934e-01
8, 9.799500107769999e-01, -3.871860693511138e-03, 1.173068023464948e+00, 3.863125523771155e-01, 6.208046484083773e-01
9, 9.752799868580000e-01, -5.077650843201735e-03, 1.141637091748653e+00, 3.161542226532436e-01, 6.531274950091381e-01
10, 9.701499938960000e-01, -6.430995681517206e-03, 1.104456064086962e+00, 2.331608573369689e-01, 6.913005503738696e-01
11, 9.645400047300000e-01, -7.872121006004108e-03, 1.065515960062974e+00, 1.462409822834241e-01, 7.311389428901924e-01
12, 9.584699869160000e-01, -9.324306959148385e-03, 1.031248793814166e+00, 6.975177190661981e-02, 7.663364817088731e-01
13, 9.519400000570000e-01, -1.073120127791234e-02, 1.007420782651420e+00, 1.656424698977651e-02, 7.911833285325063e-01
14, 9.449599981310000e-01, -1.206449251875149e-02, 9.956562302908287e-01, -9.695914529400166e-03, 8.036805318869019e-01
15, 9.375399947170000e-01, -1.332889848954640e-02, 9.932624434749570e-01, -1.503918867197108e-02, 8.062333855202355e-01
16, 9.296900033950000e-01, -1.455254669619609e-02, 9.955777191589598e-01, -9.871162591607675e-03, 8.036818603179247e-01
17, 9.214000105860000e-01, -1.577470598402479e-02, 9.983925442463553e-01, -3.588070878671289e-03, 8.005372827196837e-01
18, 9.126999974250000e-01, -1.702360650967195e-02, 9.991165655705442e-01, -1.971951851463885e-03, 7.995642634940008e-01
19, 9.035800099370001e-01, -1.832096475474570e-02, 9.968878649039467e-01, -6.946730125119080e-03, 8.016458438757412e-01
20, 8.940600156780000e-01, -1.967087546051367e-02, 9.920333728321816e-01, -1.778264992816601e-02, 8.064726580244095e-01
21, 8.841500282290000e-01, -2.106892766632874e-02, 9.853839063729698e-01, -3.262520898890670e-02, 8.131793637979754e-01
22, 8.738499879840000e-01, -2.250696397552745e-02, 9.778106414775256e-01, -4.952981813052319e-02, 8.208504495484334e-01
23, 8.631799817090000e-01, -2.397291210754849e-02, 9.700061054078891e-01, -6.695065757167608e-02, 8.287695283310225e-01
24, 8.521599769590000e-01, -2.545617085506755e-02, 9.623833691667247e-01, -8.396569382427516e-02, 8.365006772250195e-01
25, 8.407700061800000e-01, -2.695368214169894e-02, 9.551044442620664e-01, -1.002132940578875e-01, 8.438789658138321e-01
26, 8.290500044819999e-01, -2.845645736082928e-02, 9.481611799048429e-01, -1.157116519981184e-01, 8.509096963940149e-01
27, 8.170099854470000e-01, -2.996098178064543e-02, 9.414794593877618e-01, -1.306262067237460e-01, 8.576830682561862e-01
28, 8.046399950980000e-01, -3.146684660095579e-02, 9.349682630094558e-01, -1.451601272110362e-01, 8.642789619481950e-01
29, 7.919700145720000e-01, -3.296890888717408e-02, 9.285687298105230e-01, -1.594447995300827e-01, 8.707669804163474e-01
30, 7.790099978450000e-01, -3.446445630486923e-02, 9.222392999159151e-01, -1.735729912591180e-01, 8.772070056615349e-01
31, 7.657799720760000e-01, -3.594944677933487e-02, 9.159201773295790e-01, -1.876781756036184e-01, 8.836433401200690e-01
32, 7.522799968720000e-01, -3.742190331263187e-02, 9.095577361821012e-01, -2.018800531649526e-01, 8.901337158444144e-01
33, 7.385200262070000e-01, -3.887854233192893e-02, 9.031594159702205e-01, -2.161620179236149e-01, 8.966735850134313e-01
34, 7.245299816130000e-01, -4.031398758492123e-02, 8.967760086109727e-01, -2.304106950647930e-01, 9.032117493351449e-01
35, 7.103199958800001e-01, -4.172504830730783e-02, 8.904565875340540e-01, -2.445165456829152e-01, 9.096943449234335e-01
36, 6.958900094030001e-01, -4.310953817152852e-02, 8.842164436153683e-01, -2.584454383585528e-01, 9.161182900065716e-01
37, 6.812700033190000e-01, -4.446247789355226e-02, 8.780597542740859e-01, -2.721880484953440e-01, 9.224611176022973e-01
38, 6.664699912070000e-01, -4.578099917898969e-02, 8.719787804906964e-01, -2.857616506904098e-01, 9.287400781646845e-01
39, 6.514999866490000e-01, -4.706233739858698e-02, 8.659416460178340e-01, -2.992373972816206e-01, 9.349974353450294e-01
