"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	9.997500181200000e-01	-3.633242912780337e-05	1.199830204619693e+00	7.195711266212816e-01	1.010184154315303e-01	3.446404220206631e+00	1.290551347204349e+00	1.075611650911399e+00	6.485521142954215e-01	4.935148117872305e-01	
1	9.990000128750000e-01	-1.454724109320166e-04	1.181606872626713e+00	7.459440863604619e-01	1.066663669627751e-01	3.400798309489047e+00	1.264211166849148e+00	1.069908440900319e+00	5.897570688597049e-01	5.210642743384727e-01	
2	9.977599978450000e-01	-3.275082873388311e-04	1.171184697903493e+00	7.640315649032827e-01	1.128619216188183e-01	3.375515794267192e+00	1.248346714078551e+00	1.065883729793588e+00	5.543453439253364e-01	5.398267036506067e-01	
3	9.960200190539999e-01	-5.899320821610285e-04	1.164747946778061e+00	7.748370216097774e-01	1.197589990265859e-01	3.360002372325861e+00	1.238447703765948e+00	1.063275283885888e+00	5.322493387632758e-01	5.517190035638754e-01	
4	9.937800168990000e-01	-9.471126906468099e-04	1.160177496985425e+00	7.807247483745455e-01	1.301744875267313e-01	3.348858936837867e+00	1.231546904991911e+00	1.061515938890325e+00	5.168457700712299e-01	5.596296133062473e-01	
5	9.910500049590000e-01	-1.422145982882430e-03	1.155714572593425e+00	7.854944260667037e-01	1.447932452798482e-01	3.337991585294983e+00	1.224794534431921e+00	1.059772510857487e+00	5.017735143569657e-01	5.673852363500737e-01	
6	9.878399968150000e-01	-2.045631086632581e-03	1.148831294027096e+00	7.912974028900854e-01	1.632687780520988e-01	3.320898683626381e+00	1.214712103797368e+00	1.057345939401889e+00	4.792680888334098e-01	5.780481280460503e-01	
7	9.841300249100000e-01	-2.853899654748756e-03	1.137913669157884e+00	8.009611116021763e-01	1.836875725516307e-01	3.293710803292619e+00	1.198796964813342e+00	1.053504318741961e+00	4.437432250297819e-01	5.946349006578365e-01	
8	9.799500107769999e-01	-3.859277081725039e-03	1.121731007523863e+00	8.159711330398386e-01	2.029007307689805e-01	3.253335323131350e+00	1.175282947327649e+00	1.047740447080979e+00	3.912565788563602e-01	6.189039122917009e-01	
9	9.752799868580000e-01	-5.058925087860912e-03	1.100372975674890e+00	8.363808906306631e-01	2.169853135658009e-01	3.199998986599581e+00	1.144297312410033e+00	1.039917680373969e+00	3.220922152009667e-01	6.507963689829264e-01	
10	9.701499938960000e-01	-6.406016515211110e-03	1.075079323399737e+00	8.604743865180581e-01	2.227580160054528e-01	3.136720894712747e+00	1.107715518513587e+00	1.030357011248849e+00	2.404364252535428e-01	6.883755025285151e-01	
11	9.645400047300000e-01	-7.842060301661019e-03	1.048461721352757e+00	8.849235299973758e-01	2.186412705518868e-01	3.069890862221118e+00	1.069458682606697e+00	1.020026445244800e+00	1.550417022470905e-01	7.275291677133013e-01	
12	9.584699869160000e-01	-9.291696136902642e-03	1.024887102089242e+00	9.060840035450330e-01	2.056010715159867e-01	3.010525695264555e+00	1.035750743328000e+00	1.010599841891475e+00	7.980076635714284e-02	7.621512320158222e-01	
13	9.519400000570000e-01	-1.069954973429884e-02	1.008346396483856e+00	9.215740510755996e-01	1.874323314723486e-01	2.968853684077756e+00	1.012119691279106e+00	1.003742062061617e+00	2.705288231943292e-02	7.867682158235468e-01	
14	9.449599981310000e-01	-1.203766162408105e-02	9.999687814014085e-01	9.308040505734209e-01	1.688613818565644e-01	2.947775733774262e+00	1.000122636396605e+00	1.000153859798484e+00	2.737419567074216e-04	7.994768588703631e-01	
15	9.375399947170000e-01	-1.331042767355558e-02	9.979087002515493e-01	9.347690921493363e-01	1.535572996987030e-01	2.942582762184973e+00	9.971823630772206e-01	9.992721406536035e-01	-6.289368131203940e-03	8.025827233086966e-01	
16	9.296900033950000e-01	-1.454516252159459e-02	9.990173744454204e-01	9.355243743703048e-01	1.431587969113784e-01	2.945327467997097e+00	9.988147272246234e-01	9.997971534570065e-01	-2.645698159322793e-03	8.007341516887602e-01	
17	9.214000105860000e-01	-1.578015412569980e-02	1.000459724164964e+00	9.351644081364786e-01	1.374253103877202e-01	2.948884394950298e+00	1.000952228183184e+00	1.000492277706263e+00	2.125509337463717e-03	7.982830284373872e-01	
18	9.126999974250000e-01	-1.704265785692312e-02	1.000486320916460e+00	9.351485087894725e-01	1.350050092816465e-01	2.948857612067701e+00	1.001084015981077e+00	1.000597404534296e+00	2.419678529189713e-03	7.979119757333254e-01	
19	9.035800099370001e-01	-1.835370832740460e-02	9.984968187280928e-01	9.360884315721915e-01	1.342654367259776e-01	2.943724316125791e+00	9.983627142357621e-01	9.998656936208355e-01	-3.654655723745400e-03	8.004926503092474e-01	
20	8.940600156780000e-01	-1.971694946169258e-02	9.947118096850464e-01	9.380377852689626e-01	1.339104954201465e-01	2.934048400056593e+00	9.930953331368491e-01	9.983749297711576e-01	-1.541220281953336e-02	8.057364673936834e-01	
21	8.841500282290000e-01	-2.112776698578063e-02	9.896886373839167e-01	9.406955240829209e-01	1.331765469523262e-01	2.921229889178957e+00	9.860822507215929e-01	9.963560391358474e-01	-3.106640463930146e-02	8.128087756908616e-01	
22	8.738499879840000e-01	-2.257795180278063e-02	9.840127743787904e-01	9.436858774342644e-01	1.317781371706084e-01	2.906739689250290e+00	9.781640207598792e-01	9.940562218589049e-01	-4.874102508955540e-02	8.208254544954579e-01	
23	8.631799817090000e-01	-2.405540016295362e-02	9.781559853777081e-01	9.467184569707988e-01	1.297429324632687e-01	2.891772195207966e+00	9.700087854715261e-01	9.916708581985155e-01	-6.694467528677202e-02	8.290971402243491e-01	
24	8.521599769590000e-01	-2.554945307453180e-02	9.723959957810278e-01	9.496065708989574e-01	1.272392943953272e-01	2.877028966276362e+00	9.620114512744042e-01	9.893206630306179e-01	-8.479586769106197e-02	8.372053867426412e-01	
25	8.407700061800000e-01	-2.705695332150173e-02	9.668436125180109e-01	9.522844795550178e-01	1.244668050729825e-01	2.862795040212985e+00	9.543244474822329e-01	9.870515098060448e-01	-1.019543582985873e-01	8.449963346711250e-01	
26	8.290500044819999e-01	-2.856865666985540e-02	9.614901342447053e-01	9.547472810693874e-01	1.215590885646994e-01	2.849048479895885e+00	9.469353591783951e-01	9.848622731030481e-01	-1.184478589767966e-01	8.524789838353823e-01	
27	8.170099854470000e-01	-3.008072063730818e-02	9.562889077181596e-01	9.570370022116116e-01	1.186053041862677e-01	2.835677473294351e+00	9.397718093570763e-01	9.827279201632745e-01	-1.344379255422405e-01	8.597430327305323e-01	
28	8.046399950980000e-01	-3.159232375403106e-02	9.511752715682046e-01	9.591641212115926e-01	1.156312367383057e-01	2.822511378715422e+00	9.327491562443655e-01	9.806280547080879e-01	-1.501134905259699e-01	8.668607799381335e-01	
29	7.919700145720000e-01	-3.309781270779882e-02	9.461177827402835e-01	9.611609530253542e-01	1.126245542807339e-01	2.809473898630581e+00	9.258195635527637e-01	9.785457798618594e-01	-1.655813313554381e-01	8.738914585326283e-01	
30	7.790099978450000e-01	-3.459392592736256e-02	9.411003940731368e-01	9.630625253560084e-01	1.095739432661808e-01	2.796531225603246e+00	9.189534777268521e-01	9.764669991790871e-01	-1.809074157882766e-01	8.808839172227982e-01	
31	7.657799720760000e-01	-3.607604649756751e-02	9.360792949750666e-01	9.648610423668698e-01	1.064588416544993e-01	2.783563084657984e+00	9.120982050309191e-01	9.743813477417145e-01	-1.962093637702699e-01	8.878737698227560e-01	
32	7.522799968720000e-01	-3.754161654104719e-02	9.310204293595638e-01	9.665708622277072e-01	1.032678310365901e-01	2.770482431258988e+00	9.052063468965468e-01	9.722733447634722e-01	-2.115929756773509e-01	8.949131735758357e-01	
33	7.385200262070000e-01	-3.898678839012785e-02	9.259402994520388e-01	9.681896515846130e-01	9.999345340048071e-02	2.757332394493923e+00	8.982999176935486e-01	9.701488510924005e-01	-2.270091122911863e-01	9.019826474259089e-01	
34	7.245299816130000e-01	-4.040568998818445e-02	9.208902762886232e-01	9.697047752480229e-01	9.662167395969476e-02	2.744245444960512e+00	8.914492635435115e-01	9.680298364493923e-01	-2.423007510189475e-01	9.090096731559274e-01	
35	7.103199958800001e-01	-4.179469282342920e-02	9.159187421858597e-01	9.711041778311806e-01	9.316742372766743e-02	2.731346660025300e+00	8.847203392591896e-01	9.659375865022544e-01	-2.573206712964518e-01	9.159249687182786e-01	
36	6.958900094030001e-01	-4.315123447263609e-02	9.110444125922897e-01	9.724023598179284e-01	8.962711596016637e-02	2.718689329672003e+00	8.781337160209813e-01	9.638758592705005e-01	-2.720229553103095e-01	9.227177161657446e-01	
37	6.812700033190000e-01	-4.447011847595916e-02	9.062717212328546e-01	9.735804548599573e-01	8.601924786791935e-02	2.706279217740878e+00	8.717011342106027e-01	9.618540596464564e-01	-2.863813968513333e-01	9.293586648564506e-01	
38	6.664699912070000e-01	-4.574834433757750e-02	9.016120648075189e-01	9.746485653396839e-01	8.235024063592461e-02	2.694148964423952e+00	8.654349660256679e-01	9.598750946288923e-01	-3.003683794069912e-01	9.358400934948838e-01	
39	6.514999866490000e-01	-4.698313649938794e-02	8.970820216450449e-01	9.756220303729007e-01	7.863201022304461e-02	2.682346658652418e+00	8.593525440058332e-01	9.579419978007984e-01	-3.139452142726938e-01	9.421538203733538e-01	
40	6.363800168040000e-01	-4.817118506854925e-02	8.926814249597216e-01	9.764818023150832e-01	7.487781361847355e-02	2.670865342312776e+00	8.534602055262192e-01	9.560635873707444e-01	-3.270977555218322e-01	9.482728968330261e-01	
41	6.211299896240000e-01	-4.930957913169104e-02	8.884208186216740e-01	9.772628634912618e-01	7.109454415694005e-02	2.659743045545928e+00	8.477615495253409e-01	9.542342229672048e-01	-3.398179698095070e-01	9.542174378189665e-01	
42	6.057599782940000e-01	-5.039646573977567e-02	8.842826326746881e-01	9.779388081061746e-01	6.730071242371904e-02	2.648924446909152e+00	8.422424983699585e-01	9.524584869686169e-01	-3.521372804241999e-01	9.599741337161825e-01	
43	5.902799963950000e-01	-5.143020862741703e-02	8.802834984059830e-01	9.785467395608232e-01	6.349784242307926e-02	2.638464352182359e+00	8.369139191839664e-01	9.507322592090504e-01	-3.640314303929321e-01	9.655578607696332e-01	
44	5.747100114820000e-01	-5.240875717380172e-02	8.764384101469062e-01	9.790540232515698e-01	5.969346767646196e-02	2.628391239588078e+00	8.318065355894083e-01	9.490758574238930e-01	-3.754318402022136e-01	9.709044722276863e-01	
45	5.590599775310000e-01	-5.333095392322399e-02	8.727990654420525e-01	9.795015936916830e-01	5.587897668654419e-02	2.618853459571001e+00	8.269761082245418e-01	9.474988470636110e-01	-3.862140441416477e-01	9.759848436178827e-01	
46	5.433599948880000e-01	-5.419470827537114e-02	8.693549620931443e-01	9.798667651569222e-01	5.205812684347746e-02	2.609814990200461e+00	8.224171836817844e-01	9.460085000281729e-01	-3.963902149960170e-01	9.807772889386223e-01	
47	5.276100039480000e-01	-5.499982978996616e-02	8.660419665782053e-01	9.802016502357119e-01	4.824307155454430e-02	2.601122727332232e+00	8.180296918168896e-01	9.445612607538921e-01	-4.061837236230144e-01	9.854231987383546e-01	
48	5.118399858470000e-01	-5.574467929886851e-02	8.627127609990820e-01	9.804743509883289e-01	4.445732401418317e-02	2.592377830454777e+00	8.136308220733851e-01	9.431074383681812e-01	-4.160026293004797e-01	9.900825342960666e-01	
49	4.960500001910000e-01	-5.642919958935701e-02	8.593577471612778e-01	9.807240518977399e-01	4.070523999188010e-02	2.583567677569745e+00	8.091952919542404e-01	9.416279711531791e-01	-4.259033661735704e-01	9.948162987829706e-01	
50	4.802699983120000e-01	-5.705205399659185e-02	8.561793076870677e-01	9.808917268326973e-01	3.695057094796668e-02	2.575205252415069e+00	8.050091715430766e-01	9.402343227819591e-01	-4.352473849484897e-01	9.992685105150101e-01	
51	4.645099937920000e-01	-5.761284894016226e-02	8.535317108648803e-01	9.810044104913094e-01	3.313643714982799e-02	2.568229913572339e+00	8.015317119770496e-01	9.390766643747318e-01	-4.430095714797999e-01	1.002961752109392e+00	
52	4.487800002100000e-01	-5.811112155292810e-02	8.515293019936717e-01	9.810470488575667e-01	2.924040874513773e-02	2.562935553913833e+00	7.989205127805632e-01	9.382184628409895e-01	-4.488381411148143e-01	1.005696761803462e+00	
53	4.331099987030000e-01	-5.854579576464927e-02	8.498808311952438e-01	9.810763845824586e-01	2.524942144934229e-02	2.558573440330708e+00	7.967744451546365e-01	9.375131382055998e-01	-4.536284706369722e-01	1.007942765200429e+00	
54	4.174999892710000e-01	-5.891664187856803e-02	8.479139842742894e-01	9.811116404227150e-01	2.119550379759453e-02	2.553382374954815e+00	7.942003570975380e-01	9.366520329031681e-01	-4.593742029072813e-01	1.010682613220323e+00	
55	4.019699990750000e-01	-5.922277143341707e-02	8.448766593509609e-01	9.811853043278906e-01	1.712256874810433e-02	2.545398426373596e+00	7.901928920981709e-01	9.352760350903785e-01	-4.683194372808686e-01	1.015055807129462e+00	
56	3.865399956700000e-01	-5.946329963224430e-02	8.402666297904107e-01	9.812244103829217e-01	1.307577193928317e-02	2.533283709157246e+00	7.841071138744616e-01	9.331646480713428e-01	-4.819037636730767e-01	1.021754663728698e+00	
57	3.712300062180000e-01	-5.963733806152052e-02	8.342281609770810e-01	9.811482159712832e-01	9.042444329903070e-03	2.517399310019123e+00	7.761515032984607e-01	9.303827652969682e-01	-4.996618229945073e-01	1.030560207744016e+00	
58	3.560400009160000e-01	-5.974409518250243e-02	8.276382745346837e-01	9.808248739776769e-01	4.915286356454558e-03	2.500008970929491e+00	7.675248297029388e-01	9.273674905072004e-01	-5.189177908416546e-01	1.040079188330478e+00	
59	3.409900069240000e-01	-5.978241923207863e-02	8.217555108654504e-01	9.803292082019638e-01	5.572492769142427e-04	2.484435109158897e+00	7.598734115963642e-01	9.246952427445075e-01	-5.359968491152585e-01	1.048494261186352e+00	
60	3.261100053790000e-01	-5.975121036692627e-02	8.174704402938964e-01	9.798242988126056e-01	-4.068768176275273e-03	2.473056796668498e+00	7.543341736888378e-01	9.227663001706097e-01	-5.483612194445585e-01	1.054556885424182e+00	
61	3.113999962810000e-01	-5.964931061778814e-02	8.149788461832832e-01	9.794099082282960e-01	-8.941231739925521e-03	2.466412196354334e+00	7.511419056747688e-01	9.216704325425428e-01	-5.554868176902482e-01	1.057996931928308e+00	
62	2.968699932100000e-01	-5.947536371142288e-02	8.140089517622456e-01	9.791592997580909e-01	-1.404867101603009e-02	2.463811907570187e+00	7.499130299177587e-01	9.212589472072441e-01	-5.582298439335744e-01	1.059287851164757e+00	
63	2.825500071050000e-01	-5.922827249586254e-02	8.141273452225473e-01	9.790073334056113e-01	-1.937959735039355e-02	2.464100357844859e+00	7.500919986659441e-01	9.213448032026260e-01	-5.578303601206605e-01	1.059018536033287e+00	
64	2.684499919410000e-01	-5.890675031257377e-02	8.150233882776132e-01	9.789546082011018e-01	-2.497223242614863e-02	2.466467621396510e+00	7.512623324576047e-01	9.217678207311887e-01	-5.552180079071325e-01	1.057691340908737e+00	
65	2.545700073240000e-01	-5.850911452632995e-02	8.164974400812895e-01	9.789104812960260e-01	-3.085464775622162e-02	2.470363354980161e+00	7.531861877823757e-01	9.224599500365728e-01	-5.509236879857686e-01	1.055518855513201e+00	
66	2.409400045870000e-01	-5.803450321164236e-02	8.184998262231806e-01	9.788976478202185e-01	-3.708320035106318e-02	2.475669008914850e+00	7.557859976053846e-01	9.233795455923582e-01	-5.451205410594094e-01	1.052630509627078e+00	
